Year,Offence,Region,Number of offences
1999,Total,Total,86548
2000,Total,Total,91452
2001,Total,Total,83127
2002,Total,Total,91542
2003,Total,Total,81428
2004,Total,Total,78648
2005,Total,Total,62683
2006,Total,Total,71631
2007,Total,Total,78216
2008,Total,Total,75246
2009,Total,Total,74768
2010,Total,Total,73525
2011,Total,Total,57021
2012,Total,Total,61837
2013,Total,Total,53255
2014,Total,Total,66039
2015,Total,Total,70379
1999,Offences against public authorities,Total,160
2000,Offences against public authorities,Total,133
2001,Offences against public authorities,Total,125
2002,Offences against public authorities,Total,118
2003,Offences against public authorities,Total,241
2004,Offences against public authorities,Total,108
2005,Offences against public authorities,Total,105
2006,Offences against public authorities,Total,152
2007,Offences against public authorities,Total,259
2008,Offences against public authorities,Total,250
2009,Offences against public authorities,Total,224
2010,Offences against public authorities,Total,301
2011,Offences against public authorities,Total,295
2012,Offences against public authorities,Total,358
2013,Offences against public authorities,Total,321
2014,Offences against public authorities,Total,400
2015,Offences against public authorities,Total,361
1999,Forgery,Total,388
2000,Forgery,Total,445
2001,Forgery,Total,392
2002,Forgery,Total,513
2003,Forgery,Total,340
2004,Forgery,Total,309
2005,Forgery,Total,333
2006,Forgery,Total,255
2007,Forgery,Total,333
2008,Forgery,Total,278
2009,Forgery,Total,290
2010,Forgery,Total,268
2011,Forgery,Total,292
2012,Forgery,Total,265
2013,Forgery,Total,212
2014,Forgery,Total,278
2015,Forgery,Total,227
1999,Sexual offences,Total,230
2000,Sexual offences,Total,228
2001,Sexual offences,Total,281
2002,Sexual offences,Total,324
2003,Sexual offences,Total,359
2004,Sexual offences,Total,277
2005,Sexual offences,Total,288
2006,Sexual offences,Total,281
2007,Sexual offences,Total,349
2008,Sexual offences,Total,368
2009,Sexual offences,Total,318
2010,Sexual offences,Total,323
2011,Sexual offences,Total,365
2012,Sexual offences,Total,367
2013,Sexual offences,Total,731
2014,Sexual offences,Total,419
2015,Sexual offences,Total,442
1999,Assault / Violence against the person,Total,1392
2000,Assault / Violence against the person,Total,1506
2001,Assault / Violence against the person,Total,1455
2002,Assault / Violence against the person,Total,1330
2003,Assault / Violence against the person,Total,1304
2004,Assault / Violence against the person,Total,1199
2005,Assault / Violence against the person,Total,1299
2006,Assault / Violence against the person,Total,1265
2007,Assault / Violence against the person,Total,1413
2008,Assault / Violence against the person,Total,1316
2009,Assault / Violence against the person,Total,1155
2010,Assault / Violence against the person,Total,1175
2011,Assault / Violence against the person,Total,1078
2012,Assault / Violence against the person,Total,1142
2013,Assault / Violence against the person,Total,1188
2014,Assault / Violence against the person,Total,1237
2015,Assault / Violence against the person,Total,1587
1999,Offences against personal liberty,Total,710
2000,Offences against personal liberty,Total,757
2001,Offences against personal liberty,Total,757
2002,Offences against personal liberty,Total,758
2003,Offences against personal liberty,Total,874
2004,Offences against personal liberty,Total,734
2005,Offences against personal liberty,Total,774
2006,Offences against personal liberty,Total,726
2007,Offences against personal liberty,Total,575
2008,Offences against personal liberty,Total,556
2009,Offences against personal liberty,Total,515
2010,Offences against personal liberty,Total,620
2011,Offences against personal liberty,Total,507
2012,Offences against personal liberty,Total,596
2013,Offences against personal liberty,Total,565
2014,Offences against personal liberty,Total,601
2015,Offences against personal liberty,Total,740
1999,Offences of acquisition,Total,10012
2000,Offences of acquisition,Total,10466
2001,Offences of acquisition,Total,10496
2002,Offences of acquisition,Total,11330
2003,Offences of acquisition,Total,10041
2004,Offences of acquisition,Total,9716
2005,Offences of acquisition,Total,6082
2006,Offences of acquisition,Total,6596
2007,Offences of acquisition,Total,6177
2008,Offences of acquisition,Total,8029
2009,Offences of acquisition,Total,9561
2010,Offences of acquisition,Total,8608
2011,Offences of acquisition,Total,7059
2012,Offences of acquisition,Total,6439
2013,Offences of acquisition,Total,6014
2014,Offences of acquisition,Total,5524
2015,Offences of acquisition,Total,6082
1999,Offences against property,Total,4241
2000,Offences against property,Total,4180
2001,Offences against property,Total,4462
2002,Offences against property,Total,4141
2003,Offences against property,Total,3883
2004,Offences against property,Total,3536
2005,Offences against property,Total,2643
2006,Offences against property,Total,3472
2007,Offences against property,Total,3240
2008,Offences against property,Total,3032
2009,Offences against property,Total,3076
2010,Offences against property,Total,3000
2011,Offences against property,Total,2428
2012,Offences against property,Total,2062
2013,Offences against property,Total,1817
2014,Offences against property,Total,1867
2015,Offences against property,Total,1767
1999,Unlawful use of motor vehicles,Total,456
2000,Unlawful use of motor vehicles,Total,427
2001,Unlawful use of motor vehicles,Total,388
2002,Unlawful use of motor vehicles,Total,566
2003,Unlawful use of motor vehicles,Total,412
2004,Unlawful use of motor vehicles,Total,438
2005,Unlawful use of motor vehicles,Total,348
2006,Unlawful use of motor vehicles,Total,478
2007,Unlawful use of motor vehicles,Total,436
2008,Unlawful use of motor vehicles,Total,408
2009,Unlawful use of motor vehicles,Total,489
2010,Unlawful use of motor vehicles,Total,420
2011,Unlawful use of motor vehicles,Total,407
2012,Unlawful use of motor vehicles,Total,302
2013,Unlawful use of motor vehicles,Total,221
2014,Unlawful use of motor vehicles,Total,348
2015,Unlawful use of motor vehicles,Total,413
1999,Drug crimes,Total,962
2000,Drug crimes,Total,780
2001,Drug crimes,Total,910
2002,Drug crimes,Total,994
2003,Drug crimes,Total,1385
2004,Drug crimes,Total,1671
2005,Drug crimes,Total,1816
2006,Drug crimes,Total,2098
2007,Drug crimes,Total,1847
2008,Drug crimes,Total,1590
2009,Drug crimes,Total,1377
2010,Drug crimes,Total,1624
2011,Drug crimes,Total,1885
2012,Drug crimes,Total,2049
2013,Drug crimes,Total,2183
2014,Drug crimes,Total,2375
2015,Drug crimes,Total,1911
1999,Alcoholic beverages Act,Total,2297
2000,Alcoholic beverages Act,Total,2665
2001,Alcoholic beverages Act,Total,2230
2002,Alcoholic beverages Act,Total,1984
2003,Alcoholic beverages Act,Total,2009
2004,Alcoholic beverages Act,Total,1456
2005,Alcoholic beverages Act,Total,1762
2006,Alcoholic beverages Act,Total,1607
2007,Alcoholic beverages Act,Total,1309
2008,Alcoholic beverages Act,Total,885
2009,Alcoholic beverages Act,Total,603
2010,Alcoholic beverages Act,Total,780
2011,Alcoholic beverages Act,Total,665
2012,Alcoholic beverages Act,Total,644
2013,Alcoholic beverages Act,Total,710
2014,Alcoholic beverages Act,Total,688
2015,Alcoholic beverages Act,Total,672
1999,Traffic offences,Total,62735
