Year,Region,Sex,Age,work_description,n_hours
2003,Total,Total,16-24,Total actual working hours,35.2
2003,Total,Total,25-54,Total actual working hours,43.7
2003,Total,Total,55-74,Total actual working hours,41.0
2003,Total,Males,16-24,Total actual working hours,38.0
2003,Total,Males,25-54,Total actual working hours,49.3
2003,Total,Males,55-74,Total actual working hours,46.2
2003,Total,Females,16-24,Total actual working hours,32.1
2003,Total,Females,25-54,Total actual working hours,37.3
2003,Total,Females,55-74,Total actual working hours,34.5
2003,Capital region,Total,16-24,Total actual working hours,34.2
2003,Capital region,Total,25-54,Total actual working hours,42.8
2003,Capital region,Total,55-74,Total actual working hours,39.1
2003,Capital region,Males,16-24,Total actual working hours,36.6
2003,Capital region,Males,25-54,Total actual working hours,47.3
2003,Capital region,Males,55-74,Total actual working hours,43.4
2003,Capital region,Females,16-24,Total actual working hours,31.9
2003,Capital region,Females,25-54,Total actual working hours,37.7
2003,Capital region,Females,55-74,Total actual working hours,34.3
2003,Outside Capital region,Total,16-24,Total actual working hours,37.1
2003,Outside Capital region,Total,25-54,Total actual working hours,45.4
2003,Outside Capital region,Total,55-74,Total actual working hours,43.7
2003,Outside Capital region,Males,16-24,Total actual working hours,40.3
2003,Outside Capital region,Males,25-54,Total actual working hours,53.1
2003,Outside Capital region,Males,55-74,Total actual working hours,49.7
2003,Outside Capital region,Females,16-24,Total actual working hours,32.8
2003,Outside Capital region,Females,25-54,Total actual working hours,36.7
2003,Outside Capital region,Females,55-74,Total actual working hours,34.8
2004,Total,Total,16-24,Total actual working hours,35.9
2004,Total,Total,25-54,Total actual working hours,44.0
2004,Total,Total,55-74,Total actual working hours,40.1
2004,Total,Males,16-24,Total actual working hours,39.9
2004,Total,Males,25-54,Total actual working hours,49.6
2004,Total,Males,55-74,Total actual working hours,44.9
2004,Total,Females,16-24,Total actual working hours,31.9
2004,Total,Females,25-54,Total actual working hours,37.4
2004,Total,Females,55-74,Total actual working hours,33.9
2004,Capital region,Total,16-24,Total actual working hours,35.0
2004,Capital region,Total,25-54,Total actual working hours,43.2
2004,Capital region,Total,55-74,Total actual working hours,38.9
2004,Capital region,Males,16-24,Total actual working hours,39.1
2004,Capital region,Males,25-54,Total actual working hours,47.9
2004,Capital region,Males,55-74,Total actual working hours,43.4
2004,Capital region,Females,16-24,Total actual working hours,31.1
2004,Capital region,Females,25-54,Total actual working hours,37.6
2004,Capital region,Females,55-74,Total actual working hours,34.1
2004,Outside Capital region,Total,16-24,Total actual working hours,38.2
2004,Outside Capital region,Total,25-54,Total actual working hours,45.5
2004,Outside Capital region,Total,55-74,Total actual working hours,41.7
2004,Outside Capital region,Males,16-24,Total actual working hours,41.5
2004,Outside Capital region,Males,25-54,Total actual working hours,52.5
2004,Outside Capital region,Males,55-74,Total actual working hours,46.6
2004,Outside Capital region,Females,16-24,Total actual working hours,34.0
2004,Outside Capital region,Females,25-54,Total actual working hours,37.0
2004,Outside Capital region,Females,55-74,Total actual working hours,33.5
2005,Total,Total,16-24,Total actual working hours,35.9
2005,Total,Total,25-54,Total actual working hours,44.2
2005,Total,Total,55-74,Total actual working hours,41.4
2005,Total,Males,16-24,Total actual working hours,41.0
2005,Total,Males,25-54,Total actual working hours,49.9
2005,Total,Males,55-74,Total actual working hours,46.6
2005,Total,Females,16-24,Total actual working hours,30.6
2005,Total,Females,25-54,Total actual working hours,37.3
2005,Total,Females,55-74,Total actual working hours,34.4
2005,Capital region,Total,16-24,Total actual working hours,35.1
2005,Capital region,Total,25-54,Total actual working hours,43.1
2005,Capital region,Total,55-74,Total actual working hours,41.1
2005,Capital region,Males,16-24,Total actual working hours,39.8
2005,Capital region,Males,25-54,Total actual working hours,47.8
2005,Capital region,Males,55-74,Total actual working hours,45.8
2005,Capital region,Females,16-24,Total actual working hours,30.8
2005,Capital region,Females,25-54,Total actual working hours,37.6
2005,Capital region,Females,55-74,Total actual working hours,35.1
2005,Outside Capital region,Total,16-24,Total actual working hours,37.8
2005,Outside Capital region,Total,25-54,Total actual working hours,46.1
2005,Outside Capital region,Total,55-74,Total actual working hours,42.0
2005,Outside Capital region,Males,16-24,Total actual working hours,43.8
2005,Outside Capital region,Males,25-54,Total actual working hours,53.3
2005,Outside Capital region,Males,55-74,Total actual working hours,47.7
2005,Outside Capital region,Females,16-24,Total actual working hours,30.3
2005,Outside Capital region,Females,25-54,Total actual working hours,36.8
2005,Outside Capital region,Females,55-74,Total actual working hours,33.2
2006,Total,Total,16-24,Total actual working hours,35.3
2006,Total,Total,25-54,Total actual working hours,44.2
2006,Total,Total,55-74,Total actual working hours,42.3
2006,Total,Males,16-24,Total actual working hours,39.8
2006,Total,Males,25-54,Total actual working hours,49.4
2006,Total,Males,55-74,Total actual working hours,47.4
2006,Total,Females,16-24,Total actual working hours,30.7
2006,Total,Females,25-54,Total actual working hours,37.6
2006,Total,Females,55-74,Total actual working hours,35.5
2006,Capital region,Total,16-24,Total actual working hours,35.1
2006,Capital region,Total,25-54,Total actual working hours,43.2
2006,Capital region,Total,55-74,Total actual working hours,41.4
2006,Capital region,Males,16-24,Total actual working hours,39.7
2006,Capital region,Males,25-54,Total actual working hours,47.6
2006,Capital region,Males,55-74,Total actual working hours,45.9
2006,Capital region,Females,16-24,Total actual working hours,30.4
2006,Capital region,Females,25-54,Total actual working hours,37.7
2006,Capital region,Females,55-74,Total actual working hours,36.0
2006,Outside Capital region,Total,16-24,Total actual working hours,36.0
2006,Outside Capital region,Total,25-54,Total actual working hours,46.1
2006,Outside Capital region,Total,55-74,Total actual working hours,43.5
2006,Outside Capital region,Males,16-24,Total actual working hours,40.0
2006,Outside Capital region,Males,25-54,Total actual working hours,52.8
2006,Outside Capital region,Males,55-74,Total actual working hours,49.2
2006,Outside Capital region,Females,16-24,Total actual working hours,31.3
2006,Outside Capital region,Females,25-54,Total actual working hours,37.3
2006,Outside Capital region,Females,55-74,Total actual working hours,34.6
2007,Total,Total,16-24,Total actual working hours,35.7
2007,Total,Total,25-54,Total actual working hours,43.6
2007,Total,Total,55-74,Total actual working hours,41.7
2007,Total,Males,16-24,Total actual working hours,40.1
2007,Total,Males,25-54,Total actual working hours,48.6
2007,Total,Males,55-74,Total actual working hours,46.7
2007,Total,Females,16-24,Total actual working hours,30.9
2007,Total,Females,25-54,Total actual working hours,37.0
2007,Total,Females,55-74,Total actual working hours,35.3
2007,Capital region,Total,16-24,Total actual working hours,34.5
2007,Capital region,Total,25-54,Total actual working hours,42.6
2007,Capital region,Total,55-74,Total actual working hours,40.3
2007,Capital region,Males,16-24,Total actual working hours,37.9
2007,Capital region,Males,25-54,Total actual working hours,46.7
2007,Capital region,Males,55-74,Total actual working hours,44.7
2007,Capital region,Females,16-24,Total actual working hours,30.9
2007,Capital region,Females,25-54,Total actual working hours,37.2
2007,Capital region,Females,55-74,Total actual working hours,35.2
2007,Outside Capital region,Total,16-24,Total actual working hours,38.3
2007,Outside Capital region,Total,25-54,Total actual working hours,45.4
2007,Outside Capital region,Total,55-74,Total actual working hours,43.9
2007,Outside Capital region,Males,16-24,Total actual working hours,44.9
2007,Outside Capital region,Males,25-54,Total actual working hours,52.7
2007,Outside Capital region,Males,55-74,Total actual working hours,49.9
2007,Outside Capital region,Females,16-24,Total actual working hours,30.7
2007,Outside Capital region,Females,25-54,Total actual working hours,36.7
2007,Outside Capital region,Females,55-74,Total actual working hours,35.6
2008,Total,Total,16-24,Total actual working hours,34.2
2008,Total,Total,25-54,Total actual working hours,43.7
2008,Total,Total,55-74,Total actual working hours,40.6
2008,Total,Males,16-24,Total actual working hours,38.2
2008,Total,Males,25-54,Total actual working hours,48.3
2008,Total,Males,55-74,Total actual working hours,45.1
2008,Total,Females,16-24,Total actual working hours,30.1
2008,Total,Females,25-54,Total actual working hours,37.7
2008,Total,Females,55-74,Total actual working hours,34.9
2008,Capital region,Total,16-24,Total actual working hours,33.1
2008,Capital region,Total,25-54,Total actual working hours,42.9
2008,Capital region,Total,55-74,Total actual working hours,39.9
2008,Capital region,Males,16-24,Total actual working hours,36.5
2008,Capital region,Males,25-54,Total actual working hours,46.7
2008,Capital region,Males,55-74,Total actual working hours,44.2
2008,Capital region,Females,16-24,Total actual working hours,29.5
2008,Capital region,Females,25-54,Total actual working hours,37.9
2008,Capital region,Females,55-74,Total actual working hours,34.3
2008,Outside Capital region,Total,16-24,Total actual working hours,36.6
2008,Outside Capital region,Total,25-54,Total actual working hours,45.2
2008,Outside Capital region,Total,55-74,Total actual working hours,41.8
2008,Outside Capital region,Males,16-24,Total actual working hours,42.0
2008,Outside Capital region,Males,25-54,Total actual working hours,51.5
2008,Outside Capital region,Males,55-74,Total actual working hours,46.7
2008,Outside Capital region,Females,16-24,Total actual working hours,31.4
2008,Outside Capital region,Females,25-54,Total actual working hours,37.2
2008,Outside Capital region,Females,55-74,Total actual working hours,35.8
2009,Total,Total,16-24,Total actual working hours,31.4
2009,Total,Total,25-54,Total actual working hours,41.6
2009,Total,Total,55-74,Total actual working hours,39.3
2009,Total,Males,16-24,Total actual working hours,34.3
2009,Total,Males,25-54,Total actual working hours,45.8
2009,Total,Males,55-74,Total actual working hours,43.3
2009,Total,Females,16-24,Total actual working hours,28.6
2009,Total,Females,25-54,Total actual working hours,36.7
2009,Total,Females,55-74,Total actual working hours,34.3
2009,Capital region,Total,16-24,Total actual working hours,30.2
2009,Capital region,Total,25-54,Total actual working hours,40.7
2009,Capital region,Total,55-74,Total actual working hours,38.6
2009,Capital region,Males,16-24,Total actual working hours,32.3
2009,Capital region,Males,25-54,Total actual working hours,44.0
2009,Capital region,Males,55-74,Total actual working hours,42.3
2009,Capital region,Females,16-24,Total actual working hours,28.2
2009,Capital region,Females,25-54,Total actual working hours,37.1
2009,Capital region,Females,55-74,Total actual working hours,33.7
2009,Outside Capital region,Total,16-24,Total actual working hours,33.9
2009,Outside Capital region,Total,25-54,Total actual working hours,43.3
2009,Outside Capital region,Total,55-74,Total actual working hours,40.7
2009,Outside Capital region,Males,16-24,Total actual working hours,38.8
2009,Outside Capital region,Males,25-54,Total actual working hours,49.0
2009,Outside Capital region,Males,55-74,Total actual working hours,45.2
2009,Outside Capital region,Females,16-24,Total actual working hours,29.5
2009,Outside Capital region,Females,25-54,Total actual working hours,36.0
2009,Outside Capital region,Females,55-74,Total actual working hours,35.2
2010,Total,Total,16-24,Total actual working hours,30.8
2010,Total,Total,25-54,Total actual working hours,41.4
2010,Total,Total,55-74,Total actual working hours,40.0
2010,Total,Males,16-24,Total actual working hours,34.3
2010,Total,Males,25-54,Total actual working hours,45.5
2010,Total,Males,55-74,Total actual working hours,44.0
2010,Total,Females,16-24,Total actual working hours,27.5
2010,Total,Females,25-54,Total actual working hours,36.7
2010,Total,Females,55-74,Total actual working hours,35.0
2010,Capital region,Total,16-24,Total actual working hours,29.3
2010,Capital region,Total,25-54,Total actual working hours,40.1
2010,Capital region,Total,55-74,Total actual working hours,38.9
2010,Capital region,Males,16-24,Total actual working hours,32.3
2010,Capital region,Males,25-54,Total actual working hours,43.4
2010,Capital region,Males,55-74,Total actual working hours,42.3
2010,Capital region,Females,16-24,Total actual working hours,26.7
2010,Capital region,Females,25-54,Total actual working hours,36.6
2010,Capital region,Females,55-74,Total actual working hours,35.0
2010,Outside Capital region,Total,16-24,Total actual working hours,33.8
2010,Outside Capital region,Total,25-54,Total actual working hours,43.8
2010,Outside Capital region,Total,55-74,Total actual working hours,41.7
2010,Outside Capital region,Males,16-24,Total actual working hours,37.6
2010,Outside Capital region,Males,25-54,Total actual working hours,49.3
2010,Outside Capital region,Males,55-74,Total actual working hours,46.5
2010,Outside Capital region,Females,16-24,Total actual working hours,29.3
2010,Outside Capital region,Females,25-54,Total actual working hours,37.0
2010,Outside Capital region,Females,55-74,Total actual working hours,35.1
2011,Total,Total,16-24,Total actual working hours,30.9
2011,Total,Total,25-54,Total actual working hours,42.0
2011,Total,Total,55-74,Total actual working hours,40.3
2011,Total,Males,16-24,Total actual working hours,34.1
2011,Total,Males,25-54,Total actual working hours,46.3
2011,Total,Males,55-74,Total actual working hours,44.0
2011,Total,Females,16-24,Total actual working hours,27.8
2011,Total,Females,25-54,Total actual working hours,37.1
2011,Total,Females,55-74,Total actual working hours,35.9
2011,Capital region,Total,16-24,Total actual working hours,29.7
2011,Capital region,Total,25-54,Total actual working hours,40.6
2011,Capital region,Total,55-74,Total actual working hours,38.7
2011,Capital region,Males,16-24,Total actual working hours,32.5
2011,Capital region,Males,25-54,Total actual working hours,43.9
2011,Capital region,Males,55-74,Total actual working hours,41.5
2011,Capital region,Females,16-24,Total actual working hours,27.0
2011,Capital region,Females,25-54,Total actual working hours,37.1
2011,Capital region,Females,55-74,Total actual working hours,35.6
2011,Outside Capital region,Total,16-24,Total actual working hours,33.6
2011,Outside Capital region,Total,25-54,Total actual working hours,44.6
2011,Outside Capital region,Total,55-74,Total actual working hours,43.0
2011,Outside Capital region,Males,16-24,Total actual working hours,37.3
2011,Outside Capital region,Males,25-54,Total actual working hours,50.5
2011,Outside Capital region,Males,55-74,Total actual working hours,47.7
2011,Outside Capital region,Females,16-24,Total actual working hours,29.7
2011,Outside Capital region,Females,25-54,Total actual working hours,37.2
2011,Outside Capital region,Females,55-74,Total actual working hours,36.5
2012,Total,Total,16-24,Total actual working hours,30.7
2012,Total,Total,25-54,Total actual working hours,42.2
2012,Total,Total,55-74,Total actual working hours,39.6
2012,Total,Males,16-24,Total actual working hours,34.1
2012,Total,Males,25-54,Total actual working hours,46.4
2012,Total,Males,55-74,Total actual working hours,43.6
2012,Total,Females,16-24,Total actual working hours,27.1
2012,Total,Females,25-54,Total actual working hours,37.4
2012,Total,Females,55-74,Total actual working hours,34.9
2012,Capital region,Total,16-24,Total actual working hours,29.2
2012,Capital region,Total,25-54,Total actual working hours,41.1
2012,Capital region,Total,55-74,Total actual working hours,37.7
2012,Capital region,Males,16-24,Total actual working hours,31.8
2012,Capital region,Males,25-54,Total actual working hours,44.4
2012,Capital region,Males,55-74,Total actual working hours,41.2
2012,Capital region,Females,16-24,Total actual working hours,26.5
2012,Capital region,Females,25-54,Total actual working hours,37.4
2012,Capital region,Females,55-74,Total actual working hours,34.0
2012,Outside Capital region,Total,16-24,Total actual working hours,34.6
2012,Outside Capital region,Total,25-54,Total actual working hours,44.2
2012,Outside Capital region,Total,55-74,Total actual working hours,42.5
2012,Outside Capital region,Males,16-24,Total actual working hours,40.1
2012,Outside Capital region,Males,25-54,Total actual working hours,50.0
2012,Outside Capital region,Males,55-74,Total actual working hours,46.9
2012,Outside Capital region,Females,16-24,Total actual working hours,28.6
2012,Outside Capital region,Females,25-54,Total actual working hours,37.5
2012,Outside Capital region,Females,55-74,Total actual working hours,36.6
2013,Total,Total,16-24,Total actual working hours,31.0
2013,Total,Total,25-54,Total actual working hours,41.9
2013,Total,Total,55-74,Total actual working hours,40.5
2013,Total,Males,16-24,Total actual working hours,33.7
2013,Total,Males,25-54,Total actual working hours,46.2
2013,Total,Males,55-74,Total actual working hours,44.7
2013,Total,Females,16-24,Total actual working hours,28.5
2013,Total,Females,25-54,Total actual working hours,37.0
2013,Total,Females,55-74,Total actual working hours,35.1
2013,Capital region,Total,16-24,Total actual working hours,29.9
2013,Capital region,Total,25-54,Total actual working hours,40.5
2013,Capital region,Total,55-74,Total actual working hours,39.1
2013,Capital region,Males,16-24,Total actual working hours,31.8
2013,Capital region,Males,25-54,Total actual working hours,43.8
2013,Capital region,Males,55-74,Total actual working hours,42.4
2013,Capital region,Females,16-24,Total actual working hours,28.2
2013,Capital region,Females,25-54,Total actual working hours,36.8
2013,Capital region,Females,55-74,Total actual working hours,35.1
2013,Outside Capital region,Total,16-24,Total actual working hours,33.6
2013,Outside Capital region,Total,25-54,Total actual working hours,44.4
