Year,Quarter,Region,Sex,Age,employment_description,Rate
2003,Q1,Total,Total,16-74,employment,0.77
2003,Q1,Total,Total,16-24,employment,0.607
2003,Q1,Total,Total,25-54,employment,0.882
2003,Q1,Total,Total,55-74,employment,0.603
2003,Q1,Total,Total,16-64,employment,0.818
2003,Q1,Total,Total,25-64,employment,0.872
2003,Q1,Total,Males,16-74,employment,0.798
2003,Q1,Total,Males,16-24,employment,0.582
2003,Q1,Total,Males,25-54,employment,0.914
2003,Q1,Total,Males,55-74,employment,0.665
2003,Q1,Total,Males,16-64,employment,0.838
2003,Q1,Total,Males,25-64,employment,0.905
2003,Q1,Total,Females,16-74,employment,0.741
2003,Q1,Total,Females,16-24,employment,0.633
2003,Q1,Total,Females,25-54,employment,0.848
2003,Q1,Total,Females,55-74,employment,0.543
2003,Q1,Total,Females,16-64,employment,0.797
2003,Q1,Total,Females,25-64,employment,0.839
2003,Q1,Capital region,Total,16-74,employment,0.765
2003,Q1,Capital region,Total,16-24,employment,0.621
2003,Q1,Capital region,Total,25-54,employment,0.867
2003,Q1,Capital region,Total,55-74,employment,0.598
2003,Q1,Capital region,Total,16-64,employment,0.813
2003,Q1,Capital region,Total,25-64,employment,0.864
2003,Q1,Capital region,Males,16-74,employment,0.797
2003,Q1,Capital region,Males,16-24,employment,0.571
2003,Q1,Capital region,Males,25-54,employment,0.903
2003,Q1,Capital region,Males,55-74,employment,0.672
2003,Q1,Capital region,Males,16-64,employment,0.833
2003,Q1,Capital region,Males,25-64,employment,0.899
2003,Q1,Capital region,Females,16-74,employment,0.735
2003,Q1,Capital region,Females,16-24,employment,0.67
2003,Q1,Capital region,Females,25-54,employment,0.83
2003,Q1,Capital region,Females,55-74,employment,0.534
2003,Q1,Capital region,Females,16-64,employment,0.794
2003,Q1,Capital region,Females,25-64,employment,0.827
2003,Q1,Outside Capital region,Total,16-74,employment,0.779
2003,Q1,Outside Capital region,Total,16-24,employment,0.581
2003,Q1,Outside Capital region,Total,25-54,employment,0.908
2003,Q1,Outside Capital region,Total,55-74,employment,0.611
2003,Q1,Outside Capital region,Total,16-64,employment,0.826
2003,Q1,Outside Capital region,Total,25-64,employment,0.887
2003,Q1,Outside Capital region,Males,16-74,employment,0.801
2003,Q1,Outside Capital region,Males,16-24,employment,0.601
2003,Q1,Outside Capital region,Males,25-54,employment,0.936
2003,Q1,Outside Capital region,Males,55-74,employment,0.655
2003,Q1,Outside Capital region,Males,16-64,employment,0.847
2003,Q1,Outside Capital region,Males,25-64,employment,0.915
2003,Q1,Outside Capital region,Females,16-74,employment,0.754
2003,Q1,Outside Capital region,Females,16-24,employment,0.556
2003,Q1,Outside Capital region,Females,25-54,employment,0.882
2003,Q1,Outside Capital region,Females,55-74,employment,0.56
2003,Q1,Outside Capital region,Females,16-64,employment,0.804
2003,Q1,Outside Capital region,Females,25-64,employment,0.859
2003,Q2,Total,Total,16-74,employment,0.807
2003,Q2,Total,Total,16-24,employment,0.717
2003,Q2,Total,Total,25-54,employment,0.9
2003,Q2,Total,Total,55-74,employment,0.628
2003,Q2,Total,Total,16-64,employment,0.854
2003,Q2,Total,Total,25-64,employment,0.889
2003,Q2,Total,Males,16-74,employment,0.85
2003,Q2,Total,Males,16-24,employment,0.746
2003,Q2,Total,Males,25-54,employment,0.939
2003,Q2,Total,Males,55-74,employment,0.693
2003,Q2,Total,Males,16-64,employment,0.889
2003,Q2,Total,Males,25-64,employment,0.926
2003,Q2,Total,Females,16-74,employment,0.764
2003,Q2,Total,Females,16-24,employment,0.685
2003,Q2,Total,Females,25-54,employment,0.861
2003,Q2,Total,Females,55-74,employment,0.565
2003,Q2,Total,Females,16-64,employment,0.818
2003,Q2,Total,Females,25-64,employment,0.851
2003,Q2,Capital region,Total,16-74,employment,0.799
2003,Q2,Capital region,Total,16-24,employment,0.696
2003,Q2,Capital region,Total,25-54,employment,0.888
2003,Q2,Capital region,Total,55-74,employment,0.621
2003,Q2,Capital region,Total,16-64,employment,0.843
2003,Q2,Capital region,Total,25-64,employment,0.882
2003,Q2,Capital region,Males,16-74,employment,0.843
2003,Q2,Capital region,Males,16-24,employment,0.71
2003,Q2,Capital region,Males,25-54,employment,0.93
2003,Q2,Capital region,Males,55-74,employment,0.678
2003,Q2,Capital region,Males,16-64,employment,0.876
2003,Q2,Capital region,Males,25-64,employment,0.921
2003,Q2,Capital region,Females,16-74,employment,0.758
2003,Q2,Capital region,Females,16-24,employment,0.682
2003,Q2,Capital region,Females,25-54,employment,0.846
2003,Q2,Capital region,Females,55-74,employment,0.576
2003,Q2,Capital region,Females,16-64,employment,0.81
2003,Q2,Capital region,Females,25-64,employment,0.844
2003,Q2,Outside Capital region,Total,16-74,employment,0.822
2003,Q2,Outside Capital region,Total,16-24,employment,0.76
2003,Q2,Outside Capital region,Total,25-54,employment,0.924
2003,Q2,Outside Capital region,Total,55-74,employment,0.638
2003,Q2,Outside Capital region,Total,16-64,employment,0.875
2003,Q2,Outside Capital region,Total,25-64,employment,0.901
2003,Q2,Outside Capital region,Males,16-74,employment,0.862
2003,Q2,Outside Capital region,Males,16-24,employment,0.815
2003,Q2,Outside Capital region,Males,25-54,employment,0.955
2003,Q2,Outside Capital region,Males,55-74,employment,0.709
2003,Q2,Outside Capital region,Males,16-64,employment,0.911
2003,Q2,Outside Capital region,Males,25-64,employment,0.935
2003,Q2,Outside Capital region,Females,16-74,employment,0.776
2003,Q2,Outside Capital region,Females,16-24,employment,0.693
2003,Q2,Outside Capital region,Females,25-54,employment,0.892
2003,Q2,Outside Capital region,Females,55-74,employment,0.546
2003,Q2,Outside Capital region,Females,16-64,employment,0.834
2003,Q2,Outside Capital region,Females,25-64,employment,0.865
2003,Q3,Total,Total,16-74,employment,0.822
2003,Q3,Total,Total,16-24,employment,0.788
2003,Q3,Total,Total,25-54,employment,0.902
2003,Q3,Total,Total,55-74,employment,0.633
2003,Q3,Total,Total,16-64,employment,0.869
2003,Q3,Total,Total,25-64,employment,0.89
2003,Q3,Total,Males,16-74,employment,0.851
2003,Q3,Total,Males,16-24,employment,0.78
2003,Q3,Total,Males,25-54,employment,0.934
2003,Q3,Total,Males,55-74,employment,0.68
2003,Q3,Total,Males,16-64,employment,0.894
2003,Q3,Total,Males,25-64,employment,0.923
2003,Q3,Total,Females,16-74,employment,0.793
2003,Q3,Total,Females,16-24,employment,0.796
2003,Q3,Total,Females,25-54,employment,0.869
2003,Q3,Total,Females,55-74,employment,0.588
2003,Q3,Total,Females,16-64,employment,0.844
2003,Q3,Total,Females,25-64,employment,0.857
2003,Q3,Capital region,Total,16-74,employment,0.814
2003,Q3,Capital region,Total,16-24,employment,0.762
2003,Q3,Capital region,Total,25-54,employment,0.9
2003,Q3,Capital region,Total,55-74,employment,0.604
2003,Q3,Capital region,Total,16-64,employment,0.863
2003,Q3,Capital region,Total,25-64,employment,0.89
2003,Q3,Capital region,Males,16-74,employment,0.847
2003,Q3,Capital region,Males,16-24,employment,0.76
2003,Q3,Capital region,Males,25-54,employment,0.931
2003,Q3,Capital region,Males,55-74,employment,0.656
2003,Q3,Capital region,Males,16-64,employment,0.89
2003,Q3,Capital region,Males,25-64,employment,0.923
2003,Q3,Capital region,Females,16-74,employment,0.782
2003,Q3,Capital region,Females,16-24,employment,0.765
2003,Q3,Capital region,Females,25-54,employment,0.869
2003,Q3,Capital region,Females,55-74,employment,0.56
2003,Q3,Capital region,Females,16-64,employment,0.838
2003,Q3,Capital region,Females,25-64,employment,0.857
2003,Q3,Outside Capital region,Total,16-74,employment,0.837
2003,Q3,Outside Capital region,Total,16-24,employment,0.836
