Year,Quarter,Duration,Count,Percent
2003,Q1,Unemployed,6100,1.0
2003,Q1,Already found work,300,0.052
2003,Q1,Less than one month,1500,0.242
2003,Q1,1-2 months,1500,0.239
2003,Q1,3-5 months,1600,0.255
2003,Q1,6 to 11 months,800,0.124
2003,Q1,12 months or more,500,0.087
2003,Q2,Unemployed,6800,1.0
2003,Q2,Already found work,1000,0.15
2003,Q2,Less than one month,2400,0.354
2003,Q2,1-2 months,1100,0.167
2003,Q2,3-5 months,1400,0.204
2003,Q2,6 to 11 months,400,0.066
2003,Q2,12 months or more,400,0.06
2003,Q3,Unemployed,4400,1.0
2003,Q3,Already found work,600,0.141
2003,Q3,Less than one month,1100,0.259
2003,Q3,1-2 months,800,0.19
2003,Q3,3-5 months,600,0.147
2003,Q3,6 to 11 months,800,0.174
2003,Q3,12 months or more,400,0.089
2003,Q4,Unemployed,4500,1.0
2003,Q4,Already found work,200,0.044
2003,Q4,Less than one month,1500,0.326
2003,Q4,1-2 months,1300,0.29
2003,Q4,3-5 months,700,0.144
2003,Q4,6 to 11 months,600,0.125
2003,Q4,12 months or more,300,0.07
2004,Q1,Unemployed,4800,1.0
2004,Q1,Already found work,200,0.039
2004,Q1,Less than one month,1500,0.31
2004,Q1,1-2 months,1700,0.351
2004,Q1,3-5 months,600,0.129
2004,Q1,6 to 11 months,300,0.063
2004,Q1,12 months or more,500,0.108
2004,Q2,Unemployed,6600,1.0
2004,Q2,Already found work,1400,0.21
2004,Q2,Less than one month,2100,0.31
2004,Q2,1-2 months,1100,0.168
2004,Q2,3-5 months,700,0.105
2004,Q2,6 to 11 months,700,0.103
2004,Q2,12 months or more,700,0.104
2004,Q3,Unemployed,4100,1.0
2004,Q3,Already found work,500,0.132
2004,Q3,Less than one month,1700,0.415
2004,Q3,1-2 months,1000,0.236
2004,Q3,3-5 months,300,0.077
2004,Q3,6 to 11 months,300,0.076
2004,Q3,12 months or more,300,0.064
2004,Q4,Unemployed,3900,1.0
2004,Q4,Already found work,300,0.084
2004,Q4,Less than one month,1200,0.299
2004,Q4,1-2 months,900,0.219
2004,Q4,3-5 months,700,0.168
2004,Q4,6 to 11 months,300,0.085
2004,Q4,12 months or more,600,0.145
2005,Q1,Unemployed,4800,1.0
2005,Q1,Already found work,300,0.071
2005,Q1,Less than one month,1400,0.286
2005,Q1,1-2 months,1300,0.271
2005,Q1,3-5 months,600,0.128
2005,Q1,6 to 11 months,700,0.137
2005,Q1,12 months or more,500,0.106
2005,Q2,Unemployed,5000,1.0
2005,Q2,Already found work,1500,0.29
2005,Q2,Less than one month,1400,0.285
2005,Q2,1-2 months,900,0.17
2005,Q2,3-5 months,500,0.091
2005,Q2,6 to 11 months,200,0.044
2005,Q2,12 months or more,600,0.121
2005,Q3,Unemployed,2900,1.0
2005,Q3,Already found work,500,0.153
2005,Q3,Less than one month,1200,0.405
2005,Q3,1-2 months,400,0.126
2005,Q3,3-5 months,300,0.094
2005,Q3,6 to 11 months,200,0.072
2005,Q3,12 months or more,400,0.15
2005,Q4,Unemployed,4400,1.0
2005,Q4,Already found work,700,0.162
2005,Q4,Less than one month,2100,0.463
2005,Q4,1-2 months,800,0.187
2005,Q4,3-5 months,300,0.078
2005,Q4,6 to 11 months,100,0.024
2005,Q4,12 months or more,400,0.087
2006,Q1,Unemployed,4000,1.0
2006,Q1,Already found work,500,0.128
2006,Q1,Less than one month,2000,0.505
2006,Q1,1-2 months,600,0.161
2006,Q1,3-5 months,400,0.092
2006,Q1,6 to 11 months,200,0.053
2006,Q1,12 months or more,200,0.061
2006,Q2,Unemployed,7200,1.0
2006,Q2,Already found work,2000,0.285
2006,Q2,Less than one month,2800,0.386
2006,Q2,1-2 months,1200,0.167
2006,Q2,3-5 months,400,0.059
2006,Q2,6 to 11 months,300,0.046
2006,Q2,12 months or more,400,0.057
2006,Q3,Unemployed,4500,1.0
2006,Q3,Already found work,1400,0.308
2006,Q3,Less than one month,1900,0.412
2006,Q3,1-2 months,300,0.07
2006,Q3,3-5 months,300,0.07
2006,Q3,6 to 11 months,300,0.057
2006,Q3,12 months or more,400,0.083
