Year,Quarter,Sector,Employment,Value unit,value
2008,Q1,"Agriculture, forestry and fishing",Total employment,Hours worked,3260900
2008,Q1,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Hours worked,9827800
2008,Q1,Manufacturing,Total employment,Hours worked,8683900
2008,Q1,Construction,Total employment,Hours worked,7439800
2008,Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Hours worked,15798400
2008,Q1,Information and communication,Total employment,Hours worked,3207200
2008,Q1,Financial and insurance activities,Total employment,Hours worked,3685400
2008,Q1,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Hours worked,5358500
2008,Q1,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Hours worked,20088700
2008,Q1,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Hours worked,2769000
2008,Q1,Total - All activities,Total employment,Hours worked,71999400
2008,Q1,"Agriculture, forestry and fishing",Employees,Hours worked,2722400
2008,Q1,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Hours worked,9718000
2008,Q1,Manufacturing,Employees,Hours worked,8574400
2008,Q1,Construction,Employees,Hours worked,6924100
2008,Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Hours worked,15377500
2008,Q1,Information and communication,Employees,Hours worked,3102900
2008,Q1,Financial and insurance activities,Employees,Hours worked,3666400
2008,Q1,"Professional, scientific and technical activities; administrative and support service activities",Employees,Hours worked,5001400
2008,Q1,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Hours worked,19575000
2008,Q1,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Hours worked,2397500
2008,Q1,Total - All activities,Employees,Hours worked,69029200
2008,Q1,"Agriculture, forestry and fishing",Self employed,Hours worked,538400
2008,Q1,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Hours worked,109800
2008,Q1,Manufacturing,Self employed,Hours worked,109500
2008,Q1,Construction,Self employed,Hours worked,515600
2008,Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Hours worked,420900
2008,Q1,Information and communication,Self employed,Hours worked,104300
2008,Q1,Financial and insurance activities,Self employed,Hours worked,19000
2008,Q1,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Hours worked,357100
2008,Q1,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Hours worked,513700
2008,Q1,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Hours worked,371500
2008,Q1,Total - All activities,Self employed,Hours worked,2970200
2008,Q1,"Agriculture, forestry and fishing",Total employment,Persons,7500
2008,Q1,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Persons,23500
2008,Q1,Manufacturing,Total employment,Persons,21100
2008,Q1,Construction,Total employment,Persons,16900
2008,Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Persons,42200
2008,Q1,Information and communication,Total employment,Persons,7900
2008,Q1,Financial and insurance activities,Total employment,Persons,8000
2008,Q1,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Persons,12900
2008,Q1,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Persons,47600
2008,Q1,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Persons,8000
2008,Q1,Total - All activities,Total employment,Persons,175800
2008,Q1,"Agriculture, forestry and fishing",Employees,Persons,5300
2008,Q1,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Persons,23100
2008,Q1,Manufacturing,Employees,Persons,20800
2008,Q1,Construction,Employees,Persons,15400
2008,Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Persons,40800
2008,Q1,Information and communication,Employees,Persons,7600
2008,Q1,Financial and insurance activities,Employees,Persons,8000
2008,Q1,"Professional, scientific and technical activities; administrative and support service activities",Employees,Persons,11800
2008,Q1,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Persons,46200
2008,Q1,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Persons,6600
2008,Q1,Total - All activities,Employees,Persons,166100
2008,Q1,"Agriculture, forestry and fishing",Self employed,Persons,2200
2008,Q1,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Persons,300
2008,Q1,Manufacturing,Self employed,Persons,300
2008,Q1,Construction,Self employed,Persons,1500
2008,Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Self employed,Persons,1400
2008,Q1,Information and communication,Self employed,Persons,300
2008,Q1,Financial and insurance activities,Self employed,Persons,100
2008,Q1,"Professional, scientific and technical activities; administrative and support service activities",Self employed,Persons,1100
2008,Q1,Public administration and defence; compulsory social security; education; human health and social work activities,Self employed,Persons,1400
2008,Q1,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Self employed,Persons,1400
2008,Q1,Total - All activities,Self employed,Persons,9700
2008,Q1,"Agriculture, forestry and fishing",Total employment,Jobs,8500
2008,Q1,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Total employment,Jobs,24800
2008,Q1,Manufacturing,Total employment,Jobs,22300
2008,Q1,Construction,Total employment,Jobs,17800
2008,Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Total employment,Jobs,46800
2008,Q1,Information and communication,Total employment,Jobs,9000
2008,Q1,Financial and insurance activities,Total employment,Jobs,8700
2008,Q1,"Professional, scientific and technical activities; administrative and support service activities",Total employment,Jobs,15600
2008,Q1,Public administration and defence; compulsory social security; education; human health and social work activities,Total employment,Jobs,55700
2008,Q1,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Total employment,Jobs,10900
2008,Q1,Total - All activities,Total employment,Jobs,199600
2008,Q1,"Agriculture, forestry and fishing",Employees,Jobs,5600
2008,Q1,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Employees,Jobs,24200
2008,Q1,Manufacturing,Employees,Jobs,21700
2008,Q1,Construction,Employees,Jobs,15900
2008,Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,Employees,Jobs,44800
2008,Q1,Information and communication,Employees,Jobs,8300
2008,Q1,Financial and insurance activities,Employees,Jobs,8600
2008,Q1,"Professional, scientific and technical activities; administrative and support service activities",Employees,Jobs,13300
2008,Q1,Public administration and defence; compulsory social security; education; human health and social work activities,Employees,Jobs,52700
2008,Q1,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Employees,Jobs,8200
2008,Q1,Total - All activities,Employees,Jobs,183200
2008,Q1,"Agriculture, forestry and fishing",Self employed,Jobs,2800
2008,Q1,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",Self employed,Jobs,500
