Sex,age_region,Education,Year,Percent
Total,25 to 64 years,Basic education,2003,0.341
Total,25 to 64 years,Upper secondary education,2003,0.377
Total,25 to 64 years,Tertiary education,2003,0.277
Total,25 to 64 years,Education unknown,2003,0.006
Total,20 to 24 years,Basic education,2003,0.434
Total,20 to 24 years,Upper secondary education,2003,0.521
Total,20 to 24 years,Tertiary education,2003,0.042
Total,20 to 24 years,Education unknown,2003,0.002
Total,25 to 29 years,Basic education,2003,0.322
Total,25 to 29 years,Upper secondary education,2003,0.431
Total,25 to 29 years,Tertiary education,2003,0.246
Total,25 to 29 years,Education unknown,2003,0.001
Total,30 to 49 years,Basic education,2003,0.31
Total,30 to 49 years,Upper secondary education,2003,0.364
Total,30 to 49 years,Tertiary education,2003,0.323
Total,30 to 49 years,Education unknown,2003,0.004
Total,50 to 64 years,Basic education,2003,0.409
Total,50 to 64 years,Upper secondary education,2003,0.377
Total,50 to 64 years,Tertiary education,2003,0.203
Total,50 to 64 years,Education unknown,2003,0.011
Total,65 to 74 years,Basic education,2003,0.519
Total,65 to 74 years,Upper secondary education,2003,0.34
Total,65 to 74 years,Tertiary education,2003,0.116
Total,65 to 74 years,Education unknown,2003,0.026
Total,Capital region 16-74 years,Basic education,2003,0.349
Total,Capital region 16-74 years,Upper secondary education,2003,0.379
Total,Capital region 16-74 years,Tertiary education,2003,0.264
Total,Capital region 16-74 years,Education unknown,2003,0.008
Total,Other regions 16-74 years,Basic education,2003,0.53
Total,Other regions 16-74 years,Upper secondary education,2003,0.338
Total,Other regions 16-74 years,Tertiary education,2003,0.128
Total,Other regions 16-74 years,Education unknown,2003,0.004
Total,Capital region 25-64 years,Basic education,2003,0.272
Total,Capital region 25-64 years,Upper secondary education,2003,0.38
Total,Capital region 25-64 years,Tertiary education,2003,0.341
Total,Capital region 25-64 years,Education unknown,2003,0.007
Total,Other regions 25-64 years,Basic education,2003,0.461
Total,Other regions 25-64 years,Upper secondary education,2003,0.37
Total,Other regions 25-64 years,Tertiary education,2003,0.164
Total,Other regions 25-64 years,Education unknown,2003,0.004
