Degree,Year,field,Total,Males,Females
Total,1997,Total,8100,3242,4858
Total,1997,"Basic/broad, general programmes",0,0,0
Total,1997,Literacy and numeracy,0,0,0
Total,1997,Personal skills,0,0,0
Total,1997,Teacher training and educational science,1498,266,1232
Total,1997,Arts,226,81,145
Total,1997,Humanities,1191,429,762
Total,1997,Social and behavioural science,861,319,542
Total,1997,Journalism and information,120,17,103
Total,1997,Business and administration,1115,633,482
Total,1997,Law,440,233,207
Total,1997,Life science,230,95,135
Total,1997,Physical science,183,116,67
Total,1997,Mathematics and statistics,31,25,6
Total,1997,Computing,418,327,91
Total,1997,"Science, not specified",5,3,2
Total,1997,Engineering and engineering trades,265,237,28
Total,1997,Manufacturing and processing,67,24,43
Total,1997,Architecture and building,105,86,19
Total,1997,"Certified trades, not specified",0,0,0
Total,1997,"Agriculture, forestry and fishery",82,69,13
Total,1997,Veterinary,0,0,0
Total,1997,Health,1229,281,948
Total,1997,Social services,34,1,33
Total,1997,Personal services,0,0,0
Total,1997,Transport services,0,0,0
Total,1997,Environmental protection,0,0,0
Total,1997,Security services,0,0,0
Total,1997,Unknown,0,0,0
Total,1998,Total,8462,3202,5260
Total,1998,"Basic/broad, general programmes",0,0,0
Total,1998,Literacy and numeracy,0,0,0
Total,1998,Personal skills,0,0,0
Total,1998,Teacher training and educational science,1609,262,1347
Total,1998,Arts,236,86,150
Total,1998,Humanities,1125,378,747
Total,1998,Social and behavioural science,887,300,587
Total,1998,Journalism and information,121,11,110
Total,1998,Business and administration,1270,655,615
Total,1998,Law,414,222,192
Total,1998,Life science,216,77,139
Total,1998,Physical science,169,99,70
Total,1998,Mathematics and statistics,32,26,6
Total,1998,Computing,455,340,115
Total,1998,"Science, not specified",35,10,25
Total,1998,Engineering and engineering trades,304,263,41
Total,1998,Manufacturing and processing,66,24,42
Total,1998,Architecture and building,113,93,20
Total,1998,"Certified trades, not specified",0,0,0
Total,1998,"Agriculture, forestry and fishery",76,59,17
Total,1998,Veterinary,0,0,0
Total,1998,Health,1297,293,1004
Total,1998,Social services,37,4,33
Total,1998,Personal services,0,0,0
Total,1998,Transport services,0,0,0
Total,1998,Environmental protection,0,0,0
Total,1998,Security services,0,0,0
Total,1998,Unknown,0,0,0
Total,1999,Total,9667,3683,5984
Total,1999,"Basic/broad, general programmes",0,0,0
Total,1999,Literacy and numeracy,0,0,0
Total,1999,Personal skills,0,0,0
Total,1999,Teacher training and educational science,1534,227,1307
Total,1999,Arts,242,85,157
Total,1999,Humanities,1290,443,847
Total,1999,Social and behavioural science,973,353,620
Total,1999,Journalism and information,130,18,112
Total,1999,Business and administration,1766,859,907
Total,1999,Law,439,220,219
Total,1999,Life science,319,107,212
Total,1999,Physical science,187,98,89
Total,1999,Mathematics and statistics,33,22,11
Total,1999,Computing,606,455,151
Total,1999,"Science, not specified",16,6,10
Total,1999,Engineering and engineering trades,365,308,57
Total,1999,Manufacturing and processing,60,23,37
Total,1999,Architecture and building,131,99,32
Total,1999,"Certified trades, not specified",0,0,0
Total,1999,"Agriculture, forestry and fishery",64,50,14
Total,1999,Veterinary,0,0,0
Total,1999,Health,1345,285,1060
Total,1999,Social services,38,4,34
Total,1999,Personal services,129,21,108
Total,1999,Transport services,0,0,0
Total,1999,Environmental protection,0,0,0
Total,1999,Security services,0,0,0
Total,1999,Unknown,0,0,0
Total,2000,Total,10126,3800,6326
Total,2000,"Basic/broad, general programmes",0,0,0
Total,2000,Literacy and numeracy,0,0,0
Total,2000,Personal skills,0,0,0
Total,2000,Teacher training and educational science,1519,214,1305
Total,2000,Arts,287,102,185
Total,2000,Humanities,1234,414,820
Total,2000,Social and behavioural science,1018,361,657
Total,2000,Journalism and information,122,18,104
Total,2000,Business and administration,1985,913,1072
Total,2000,Law,433,187,246
Total,2000,Life science,284,101,183
Total,2000,Physical science,194,101,93
Total,2000,Mathematics and statistics,34,23,11
Total,2000,Computing,729,536,193
Total,2000,"Science, not specified",12,5,7
Total,2000,Engineering and engineering trades,420,334,86
Total,2000,Manufacturing and processing,43,12,31
Total,2000,Architecture and building,143,104,39
Total,2000,"Certified trades, not specified",0,0,0
Total,2000,"Agriculture, forestry and fishery",67,44,23
Total,2000,Veterinary,0,0,0
Total,2000,Health,1379,305,1074
Total,2000,Social services,80,6,74
Total,2000,Personal services,139,17,122
Total,2000,Transport services,0,0,0
Total,2000,Environmental protection,4,3,1
Total,2000,Security services,0,0,0
Total,2000,Unknown,0,0,0
Total,2001,Total,11485,4251,7234
Total,2001,"Basic/broad, general programmes",0,0,0
Total,2001,Literacy and numeracy,0,0,0
Total,2001,Personal skills,0,0,0
Total,2001,Teacher training and educational science,1962,302,1660
Total,2001,Arts,287,95,192
Total,2001,Humanities,1329,452,877
Total,2001,Social and behavioural science,1098,394,704
Total,2001,Journalism and information,135,22,113
Total,2001,Business and administration,2360,1010,1350
Total,2001,Law,489,227,262
Total,2001,Life science,274,98,176
Total,2001,Physical science,197,113,84
Total,2001,Mathematics and statistics,49,34,15
Total,2001,Computing,865,614,251
Total,2001,"Science, not specified",48,14,34
Total,2001,Engineering and engineering trades,479,378,101
Total,2001,Manufacturing and processing,35,11,24
Total,2001,Architecture and building,179,122,57
Total,2001,"Certified trades, not specified",0,0,0
Total,2001,"Agriculture, forestry and fishery",57,36,21
Total,2001,Veterinary,0,0,0
Total,2001,Health,1332,283,1049
Total,2001,Social services,107,12,95
Total,2001,Personal services,193,30,163
Total,2001,Transport services,0,0,0
Total,2001,Environmental protection,10,4,6
Total,2001,Security services,0,0,0
Total,2001,Unknown,0,0,0
Total,2002,Total,13347,4850,8497
Total,2002,"Basic/broad, general programmes",0,0,0
Total,2002,Literacy and numeracy,0,0,0
Total,2002,Personal skills,0,0,0
Total,2002,Teacher training and educational science,2536,391,2145
Total,2002,Arts,328,110,218
Total,2002,Humanities,1578,541,1037
Total,2002,Social and behavioural science,1379,489,890
Total,2002,Journalism and information,133,13,120
Total,2002,Business and administration,2573,1133,1440
Total,2002,Law,664,303,361
Total,2002,Life science,347,115,232
Total,2002,Physical science,184,108,76
Total,2002,Mathematics and statistics,67,53,14
Total,2002,Computing,781,592,189
Total,2002,"Science, not specified",45,23,22
Total,2002,Engineering and engineering trades,571,458,113
Total,2002,Manufacturing and processing,33,8,25
Total,2002,Architecture and building,266,160,106
Total,2002,"Certified trades, not specified",0,0,0
Total,2002,"Agriculture, forestry and fishery",72,43,29
Total,2002,Veterinary,0,0,0
Total,2002,Health,1404,259,1145
Total,2002,Social services,162,13,149
Total,2002,Personal services,185,24,161
Total,2002,Transport services,8,4,4
Total,2002,Environmental protection,31,10,21
Total,2002,Security services,0,0,0
Total,2002,Unknown,0,0,0
Total,2003,Total,14900,5303,9597
Total,2003,"Basic/broad, general programmes",0,0,0
Total,2003,Literacy and numeracy,0,0,0
Total,2003,Personal skills,0,0,0
Total,2003,Teacher training and educational science,2737,414,2323
Total,2003,Arts,347,120,227
Total,2003,Humanities,1914,657,1257
Total,2003,Social and behavioural science,1765,636,1129
Total,2003,Journalism and information,138,27,111
Total,2003,Business and administration,2647,1130,1517
Total,2003,Law,819,373,446
Total,2003,Life science,347,130,217
Total,2003,Physical science,219,126,93
Total,2003,Mathematics and statistics,77,60,17
Total,2003,Computing,690,551,139
Total,2003,"Science, not specified",59,31,28
Total,2003,Engineering and engineering trades,613,475,138
Total,2003,Manufacturing and processing,32,9,23
Total,2003,Architecture and building,349,200,149
Total,2003,"Certified trades, not specified",0,0,0
Total,2003,"Agriculture, forestry and fishery",89,55,34
Total,2003,Veterinary,0,0,0
Total,2003,Health,1573,248,1325
Total,2003,Social services,226,17,209
Total,2003,Personal services,231,32,199
Total,2003,Transport services,4,2,2
Total,2003,Environmental protection,24,10,14
Total,2003,Security services,0,0,0
Total,2003,Unknown,0,0,0
Total,2004,Total,15379,5413,9966
Total,2004,"Basic/broad, general programmes",0,0,0
Total,2004,Literacy and numeracy,0,0,0
Total,2004,Personal skills,0,0,0
Total,2004,Teacher training and educational science,3002,493,2509
Total,2004,Arts,388,134,254
Total,2004,Humanities,1861,626,1235
Total,2004,Social and behavioural science,1795,670,1125
Total,2004,Journalism and information,176,35,141
Total,2004,Business and administration,2505,1054,1451
Total,2004,Law,956,450,506
Total,2004,Life science,375,138,237
Total,2004,Physical science,260,150,110
Total,2004,Mathematics and statistics,92,66,26
Total,2004,Computing,579,475,104
Total,2004,"Science, not specified",59,25,34
Total,2004,Engineering and engineering trades,646,498,148
Total,2004,Manufacturing and processing,34,9,25
Total,2004,Architecture and building,360,209,151
Total,2004,"Certified trades, not specified",0,0,0
Total,2004,"Agriculture, forestry and fishery",92,52,40
Total,2004,Veterinary,0,0,0
Total,2004,Health,1665,258,1407
Total,2004,Social services,255,15,240
Total,2004,Personal services,255,47,208
Total,2004,Transport services,6,3,3
Total,2004,Environmental protection,18,6,12
Total,2004,Security services,0,0,0
Total,2004,Unknown,0,0,0
Total,2005,Total,15839,5639,10200
Total,2005,"Basic/broad, general programmes",0,0,0
Total,2005,Literacy and numeracy,0,0,0
Total,2005,Personal skills,0,0,0
Total,2005,Teacher training and educational science,2778,462,2316
Total,2005,Arts,429,156,273
Total,2005,Humanities,1890,625,1265
Total,2005,Social and behavioural science,1958,723,1235
Total,2005,Journalism and information,204,46,158
Total,2005,Business and administration,2727,1180,1547
Total,2005,Law,1080,508,572
Total,2005,Life science,395,131,264
