Year,Age,Sex,marital_status,count
1998,Total,Total,Total,203448
1998,16,Total,Total,4340
1998,17,Total,Total,4539
1998,18,Total,Total,4497
1998,19,Total,Total,4092
1998,20,Total,Total,3940
1998,21,Total,Total,4178
1998,22,Total,Total,4168
1998,23,Total,Total,3997
1998,24,Total,Total,4360
1998,25,Total,Total,4377
1998,26,Total,Total,3944
1998,27,Total,Total,3711
1998,28,Total,Total,3898
1998,29,Total,Total,3816
1998,30,Total,Total,3967
1998,31,Total,Total,4245
1998,32,Total,Total,4224
1998,33,Total,Total,4283
1998,34,Total,Total,4290
1998,35,Total,Total,4252
1998,36,Total,Total,4084
1998,37,Total,Total,4292
1998,38,Total,Total,4307
1998,39,Total,Total,4111
1998,40,Total,Total,4142
1998,41,Total,Total,4082
1998,42,Total,Total,3945
1998,43,Total,Total,3818
1998,44,Total,Total,3815
1998,45,Total,Total,3602
1998,46,Total,Total,3558
1998,47,Total,Total,3572
1998,48,Total,Total,3347
1998,49,Total,Total,3292
1998,50,Total,Total,3171
1998,51,Total,Total,2966
1998,52,Total,Total,2942
1998,53,Total,Total,2734
1998,54,Total,Total,2619
1998,55,Total,Total,2505
1998,56,Total,Total,2179
1998,57,Total,Total,2040
1998,58,Total,Total,1982
1998,59,Total,Total,1944
1998,60,Total,Total,1968
1998,61,Total,Total,1987
1998,62,Total,Total,1952
1998,63,Total,Total,1967
1998,64,Total,Total,1912
1998,65,Total,Total,1995
1998,66,Total,Total,2020
1998,67,Total,Total,2124
1998,68,Total,Total,1913
1998,69,Total,Total,1828
1998,70,Total,Total,1771
1998,71,Total,Total,1716
1998,72,Total,Total,1585
1998,73,Total,Total,1525
1998,74,Total,Total,1528
1998,75,Total,Total,1403
1998,76,Total,Total,1408
1998,77,Total,Total,1263
1998,78,Total,Total,1094
1998,79,Total,Total,1044
1998,80,Total,Total,951
1998,81,Total,Total,856
1998,82,Total,Total,788
1998,83,Total,Total,702
1998,84,Total,Total,686
1998,85,Total,Total,569
1998,86,Total,Total,529
1998,87,Total,Total,383
1998,88,Total,Total,373
1998,89,Total,Total,329
1998,90,Total,Total,243
1998,91,Total,Total,206
1998,92,Total,Total,184
1998,93,Total,Total,142
1998,94,Total,Total,100
1998,95,Total,Total,69
1998,96,Total,Total,60
1998,97,Total,Total,46
1998,98,Total,Total,23
1998,99,Total,Total,10
1998,100,Total,Total,15
1998,101,Total,Total,5
1998,102,Total,Total,6
1998,103,Total,Total,3
1998,104,Total,Total,0
1998,105,Total,Total,0
1998,106,Total,Total,0
1998,107,Total,Total,0
1998,108,Total,Total,0
1998,109,Total,Total,0
1998,Total,Males,Total,101106
1998,16,Males,Total,2246
1998,17,Males,Total,2317
1998,18,Males,Total,2301
1998,19,Males,Total,2062
1998,20,Males,Total,1970
1998,21,Males,Total,2137
1998,22,Males,Total,2098
1998,23,Males,Total,2041
1998,24,Males,Total,2242
1998,25,Males,Total,2203
1998,26,Males,Total,2010
1998,27,Males,Total,1889
1998,28,Males,Total,1932
1998,29,Males,Total,1951
1998,30,Males,Total,1969
1998,31,Males,Total,2092
1998,32,Males,Total,2154
1998,33,Males,Total,2082
1998,34,Males,Total,2158
1998,35,Males,Total,2144
1998,36,Males,Total,2054
1998,37,Males,Total,2182
1998,38,Males,Total,2197
1998,39,Males,Total,2042
1998,40,Males,Total,2135
1998,41,Males,Total,2080
1998,42,Males,Total,1974
1998,43,Males,Total,1960
1998,44,Males,Total,1961
1998,45,Males,Total,1872
1998,46,Males,Total,1738
1998,47,Males,Total,1886
1998,48,Males,Total,1731
1998,49,Males,Total,1632
1998,50,Males,Total,1649
1998,51,Males,Total,1562
1998,52,Males,Total,1512
