pop_vs_15+,Year,alc_category,liters_per_inhabitant
total_pop,1980,all_alc,3.14
total_pop,1981,all_alc,3.16
total_pop,1982,all_alc,3.11
total_pop,1983,all_alc,3.22
total_pop,1984,all_alc,3.28
total_pop,1985,all_alc,3.19
total_pop,1986,all_alc,3.34
total_pop,1987,all_alc,3.48
total_pop,1988,all_alc,3.39
total_pop,1989,all_alc,4.13
total_pop,1990,all_alc,3.93
total_pop,1991,all_alc,3.86
total_pop,1992,all_alc,3.55
total_pop,1993,all_alc,3.34
total_pop,1994,all_alc,3.47
total_pop,1995,all_alc,3.6
total_pop,1996,all_alc,3.71
total_pop,1997,all_alc,3.88
total_pop,1998,all_alc,4.25
total_pop,1999,all_alc,4.53
total_pop,2000,all_alc,4.71
total_pop,2001,all_alc,4.86
total_pop,2002,all_alc,5.02
total_pop,2003,all_alc,5.04
total_pop,2004,all_alc,5.21
total_pop,2005,all_alc,5.49
total_pop,2006,all_alc,5.66
total_pop,2007,all_alc,5.95
total_pop,2008,all_alc,5.7
total_pop,2009,all_alc,5.73
total_pop,2010,all_alc,5.37
total_pop,2011,all_alc,5.42
total_pop,2012,all_alc,5.41
total_pop,2013,all_alc,5.4
total_pop,2014,all_alc,5.58
total_pop,2015,all_alc,6.11
total_pop,2016,all_alc,6.01
total_pop,2017,all_alc,6.23
total_pop,2018,all_alc,6.24
15+,1980,all_alc,4.33
15+,1981,all_alc,4.33
15+,1982,all_alc,4.25
15+,1983,all_alc,4.39
15+,1984,all_alc,4.46
15+,1985,all_alc,4.32
15+,1986,all_alc,4.51
15+,1987,all_alc,4.67
15+,1988,all_alc,4.53
15+,1989,all_alc,5.52
15+,1990,all_alc,5.24
15+,1991,all_alc,5.14
15+,1992,all_alc,4.73
15+,1993,all_alc,4.45
15+,1994,all_alc,4.61
15+,1995,all_alc,4.76
15+,1996,all_alc,4.89
15+,1997,all_alc,5.09
15+,1998,all_alc,5.56
15+,1999,all_alc,5.91
15+,2000,all_alc,6.14
15+,2001,all_alc,6.32
