Year,Sex,Income quintiles,unit,percent
2004,Total,Total,Proportion of individuals (%),0.787
2004,Total,Bottom quintile 1-20%,Proportion of individuals (%),0.686
2004,Total,Second quintile 21-40%,Proportion of individuals (%),0.744
2004,Total,Third quintile 41-60%,Proportion of individuals (%),0.803
2004,Total,Fourth quintile 61-80%,Proportion of individuals (%),0.831
2004,Total,Top quintile 81-100%,Proportion of individuals (%),0.858
2004,Females,Total,Proportion of individuals (%),0.751
2004,Females,Bottom quintile 1-20%,Proportion of individuals (%),0.652
2004,Females,Second quintile 21-40%,Proportion of individuals (%),0.71
2004,Females,Third quintile 41-60%,Proportion of individuals (%),0.786
2004,Females,Fourth quintile 61-80%,Proportion of individuals (%),0.802
2004,Females,Top quintile 81-100%,Proportion of individuals (%),0.831
2004,Males,Total,Proportion of individuals (%),0.821
2004,Males,Bottom quintile 1-20%,Proportion of individuals (%),0.73
2004,Males,Second quintile 21-40%,Proportion of individuals (%),0.785
2004,Males,Third quintile 41-60%,Proportion of individuals (%),0.821
2004,Males,Fourth quintile 61-80%,Proportion of individuals (%),0.854
2004,Males,Top quintile 81-100%,Proportion of individuals (%),0.881
2005,Total,Total,Proportion of individuals (%),0.796
2005,Total,Bottom quintile 1-20%,Proportion of individuals (%),0.714
2005,Total,Second quintile 21-40%,Proportion of individuals (%),0.729
2005,Total,Third quintile 41-60%,Proportion of individuals (%),0.816
2005,Total,Fourth quintile 61-80%,Proportion of individuals (%),0.827
2005,Total,Top quintile 81-100%,Proportion of individuals (%),0.882
2005,Females,Total,Proportion of individuals (%),0.767
2005,Females,Bottom quintile 1-20%,Proportion of individuals (%),0.681
2005,Females,Second quintile 21-40%,Proportion of individuals (%),0.672
2005,Females,Third quintile 41-60%,Proportion of individuals (%),0.808
2005,Females,Fourth quintile 61-80%,Proportion of individuals (%),0.836
2005,Females,Top quintile 81-100%,Proportion of individuals (%),0.862
2005,Males,Total,Proportion of individuals (%),0.824
2005,Males,Bottom quintile 1-20%,Proportion of individuals (%),0.752
2005,Males,Second quintile 21-40%,Proportion of individuals (%),0.801
2005,Males,Third quintile 41-60%,Proportion of individuals (%),0.824
2005,Males,Fourth quintile 61-80%,Proportion of individuals (%),0.82
2005,Males,Top quintile 81-100%,Proportion of individuals (%),0.898
2006,Total,Total,Proportion of individuals (%),0.81
2006,Total,Bottom quintile 1-20%,Proportion of individuals (%),0.724
2006,Total,Second quintile 21-40%,Proportion of individuals (%),0.764
2006,Total,Third quintile 41-60%,Proportion of individuals (%),0.811
2006,Total,Fourth quintile 61-80%,Proportion of individuals (%),0.85
2006,Total,Top quintile 81-100%,Proportion of individuals (%),0.887
2006,Females,Total,Proportion of individuals (%),0.796
2006,Females,Bottom quintile 1-20%,Proportion of individuals (%),0.702
2006,Females,Second quintile 21-40%,Proportion of individuals (%),0.749
2006,Females,Third quintile 41-60%,Proportion of individuals (%),0.82
2006,Females,Fourth quintile 61-80%,Proportion of individuals (%),0.836
2006,Females,Top quintile 81-100%,Proportion of individuals (%),0.888
2006,Males,Total,Proportion of individuals (%),0.823
2006,Males,Bottom quintile 1-20%,Proportion of individuals (%),0.751
2006,Males,Second quintile 21-40%,Proportion of individuals (%),0.783
2006,Males,Third quintile 41-60%,Proportion of individuals (%),0.801
2006,Males,Fourth quintile 61-80%,Proportion of individuals (%),0.86
2006,Males,Top quintile 81-100%,Proportion of individuals (%),0.886
2007,Total,Total,Proportion of individuals (%),0.792
2007,Total,Bottom quintile 1-20%,Proportion of individuals (%),0.692
2007,Total,Second quintile 21-40%,Proportion of individuals (%),0.731
2007,Total,Third quintile 41-60%,Proportion of individuals (%),0.812
2007,Total,Fourth quintile 61-80%,Proportion of individuals (%),0.867
2007,Total,Top quintile 81-100%,Proportion of individuals (%),0.85
2007,Females,Total,Proportion of individuals (%),0.758
2007,Females,Bottom quintile 1-20%,Proportion of individuals (%),0.664
2007,Females,Second quintile 21-40%,Proportion of individuals (%),0.727
2007,Females,Third quintile 41-60%,Proportion of individuals (%),0.754
2007,Females,Fourth quintile 61-80%,Proportion of individuals (%),0.827
2007,Females,Top quintile 81-100%,Proportion of individuals (%),0.831
2007,Males,Total,Proportion of individuals (%),0.826
2007,Males,Bottom quintile 1-20%,Proportion of individuals (%),0.725
2007,Males,Second quintile 21-40%,Proportion of individuals (%),0.735
2007,Males,Third quintile 41-60%,Proportion of individuals (%),0.866
2007,Males,Fourth quintile 61-80%,Proportion of individuals (%),0.902
2007,Males,Top quintile 81-100%,Proportion of individuals (%),0.866
2008,Total,Total,Proportion of individuals (%),0.806
2008,Total,Bottom quintile 1-20%,Proportion of individuals (%),0.72
2008,Total,Second quintile 21-40%,Proportion of individuals (%),0.733
2008,Total,Third quintile 41-60%,Proportion of individuals (%),0.843
2008,Total,Fourth quintile 61-80%,Proportion of individuals (%),0.848
2008,Total,Top quintile 81-100%,Proportion of individuals (%),0.875
2008,Females,Total,Proportion of individuals (%),0.788
2008,Females,Bottom quintile 1-20%,Proportion of individuals (%),0.713
2008,Females,Second quintile 21-40%,Proportion of individuals (%),0.724
2008,Females,Third quintile 41-60%,Proportion of individuals (%),0.839
2008,Females,Fourth quintile 61-80%,Proportion of individuals (%),0.83
2008,Females,Top quintile 81-100%,Proportion of individuals (%),0.843
2008,Males,Total,Proportion of individuals (%),0.824
2008,Males,Bottom quintile 1-20%,Proportion of individuals (%),0.729
2008,Males,Second quintile 21-40%,Proportion of individuals (%),0.744
2008,Males,Third quintile 41-60%,Proportion of individuals (%),0.846
2008,Males,Fourth quintile 61-80%,Proportion of individuals (%),0.867
2008,Males,Top quintile 81-100%,Proportion of individuals (%),0.9
2009,Total,Total,Proportion of individuals (%),0.803
2009,Total,Bottom quintile 1-20%,Proportion of individuals (%),0.76
2009,Total,Second quintile 21-40%,Proportion of individuals (%),0.752
2009,Total,Third quintile 41-60%,Proportion of individuals (%),0.79
2009,Total,Fourth quintile 61-80%,Proportion of individuals (%),0.861
2009,Total,Top quintile 81-100%,Proportion of individuals (%),0.843
2009,Females,Total,Proportion of individuals (%),0.787
2009,Females,Bottom quintile 1-20%,Proportion of individuals (%),0.721
2009,Females,Second quintile 21-40%,Proportion of individuals (%),0.759
2009,Females,Third quintile 41-60%,Proportion of individuals (%),0.78
2009,Females,Fourth quintile 61-80%,Proportion of individuals (%),0.858
2009,Females,Top quintile 81-100%,Proportion of individuals (%),0.824
2009,Males,Total,Proportion of individuals (%),0.819
2009,Males,Bottom quintile 1-20%,Proportion of individuals (%),0.805
2009,Males,Second quintile 21-40%,Proportion of individuals (%),0.743
2009,Males,Third quintile 41-60%,Proportion of individuals (%),0.799
2009,Males,Fourth quintile 61-80%,Proportion of individuals (%),0.864
2009,Males,Top quintile 81-100%,Proportion of individuals (%),0.858
2010,Total,Total,Proportion of individuals (%),0.778
2010,Total,Bottom quintile 1-20%,Proportion of individuals (%),0.739
2010,Total,Second quintile 21-40%,Proportion of individuals (%),0.72
2010,Total,Third quintile 41-60%,Proportion of individuals (%),0.802
2010,Total,Fourth quintile 61-80%,Proportion of individuals (%),0.81
2010,Total,Top quintile 81-100%,Proportion of individuals (%),0.813
2010,Females,Total,Proportion of individuals (%),0.762
2010,Females,Bottom quintile 1-20%,Proportion of individuals (%),0.744
2010,Females,Second quintile 21-40%,Proportion of individuals (%),0.7
2010,Females,Third quintile 41-60%,Proportion of individuals (%),0.783
2010,Females,Fourth quintile 61-80%,Proportion of individuals (%),0.802
2010,Females,Top quintile 81-100%,Proportion of individuals (%),0.788
2010,Males,Total,Proportion of individuals (%),0.794
2010,Males,Bottom quintile 1-20%,Proportion of individuals (%),0.733
2010,Males,Second quintile 21-40%,Proportion of individuals (%),0.744
2010,Males,Third quintile 41-60%,Proportion of individuals (%),0.821
2010,Males,Fourth quintile 61-80%,Proportion of individuals (%),0.817
2010,Males,Top quintile 81-100%,Proportion of individuals (%),0.832
2011,Total,Total,Proportion of individuals (%),0.777
2011,Total,Bottom quintile 1-20%,Proportion of individuals (%),0.736
2011,Total,Second quintile 21-40%,Proportion of individuals (%),0.702
2011,Total,Third quintile 41-60%,Proportion of individuals (%),0.765
2011,Total,Fourth quintile 61-80%,Proportion of individuals (%),0.824
2011,Total,Top quintile 81-100%,Proportion of individuals (%),0.846
2011,Females,Total,Proportion of individuals (%),0.761
2011,Females,Bottom quintile 1-20%,Proportion of individuals (%),0.702
2011,Females,Second quintile 21-40%,Proportion of individuals (%),0.696
2011,Females,Third quintile 41-60%,Proportion of individuals (%),0.773
2011,Females,Fourth quintile 61-80%,Proportion of individuals (%),0.803
2011,Females,Top quintile 81-100%,Proportion of individuals (%),0.835
2011,Males,Total,Proportion of individuals (%),0.794
2011,Males,Bottom quintile 1-20%,Proportion of individuals (%),0.777
2011,Males,Second quintile 21-40%,Proportion of individuals (%),0.71
2011,Males,Third quintile 41-60%,Proportion of individuals (%),0.758
2011,Males,Fourth quintile 61-80%,Proportion of individuals (%),0.845
