Sex,Age,Smoking habits,Year,percent
Total,18-29,Have never smoked,1989,0.486
Total,18-29,Stopped smoking,1989,0.145
Total,18-29,Smoke less than daily,1989,0.038
Total,18-29,Smoke daily,1989,0.331
Total,30-39,Have never smoked,1989,0.272
Total,30-39,Stopped smoking,1989,0.324
Total,30-39,Smoke less than daily,1989,0.049
Total,30-39,Smoke daily,1989,0.354
Total,40-49,Have never smoked,1989,0.296
Total,40-49,Stopped smoking,1989,0.279
Total,40-49,Smoke less than daily,1989,0.044
Total,40-49,Smoke daily,1989,0.381
Total,50-59,Have never smoked,1989,0.328
Total,50-59,Stopped smoking,1989,0.326
Total,50-59,Smoke less than daily,1989,0.025
Total,50-59,Smoke daily,1989,0.321
Total,60-69,Have never smoked,1989,0.355
Total,60-69,Stopped smoking,1989,0.301
Total,60-69,Smoke less than daily,1989,0.032
Total,60-69,Smoke daily,1989,0.312
Total,70-89,Have never smoked,1989,0.397
Total,70-89,Stopped smoking,1989,0.409
Total,70-89,Smoke less than daily,1989,0.016
Total,70-89,Smoke daily,1989,0.179
Total,18-69,Have never smoked,1989,0.36
Total,18-69,Stopped smoking,1989,0.259
Total,18-69,Smoke less than daily,1989,0.039
Total,18-69,Smoke daily,1989,0.342
Total,18-79,Have never smoked,1989,0.363
Total,18-79,Stopped smoking,1989,0.271
Total,18-79,Smoke less than daily,1989,0.037
Total,18-79,Smoke daily,1989,0.329
Total,18-89,Have never smoked,1989,0.363
Total,18-89,Stopped smoking,1989,0.271
Total,18-89,Smoke less than daily,1989,0.037
Total,18-89,Smoke daily,1989,0.329
Males,18-29,Have never smoked,1989,0.525
Males,18-29,Stopped smoking,1989,0.116
Males,18-29,Smoke less than daily,1989,0.029
Males,18-29,Smoke daily,1989,0.33
Males,30-39,Have never smoked,1989,0.284
Males,30-39,Stopped smoking,1989,0.314
Males,30-39,Smoke less than daily,1989,0.047
Males,30-39,Smoke daily,1989,0.355
Males,40-49,Have never smoked,1989,0.239
Males,40-49,Stopped smoking,1989,0.348
Males,40-49,Smoke less than daily,1989,0.061
Males,40-49,Smoke daily,1989,0.352
Males,50-59,Have never smoked,1989,0.259
