Year,Sex,Age,Unit,value
1990,Total,Total,10%,26500
1990,Total,16 - 24 years,10%,17000
1990,Total,16 - 64 years,10%,25300
1990,Total,16 - 74 years,10%,26200
1990,Total,18 - 66 years,10%,29800
1990,Total,25 - 54 years,10%,36100
1990,Total,25 - 64 years,10%,36800
1990,Total,25 - 74 years,10%,36900
1990,Total,55 - 74 years,10%,37800
1990,Total,67 years and older,10%,37600
1990,Total,75 years and older,10%,37600
1990,Total,Total,20%,45600
1990,Total,16 - 24 years,20%,25000
1990,Total,16 - 64 years,20%,44400
1990,Total,16 - 74 years,20%,45200
1990,Total,18 - 66 years,20%,50100
1990,Total,25 - 54 years,20%,60000
1990,Total,25 - 64 years,20%,59600
1990,Total,25 - 74 years,20%,57700
1990,Total,55 - 74 years,20%,53600
1990,Total,67 years and older,20%,49600
1990,Total,75 years and older,20%,49400
1990,Total,Total,30%,60400
1990,Total,16 - 24 years,30%,32700
1990,Total,16 - 64 years,30%,61300
1990,Total,16 - 74 years,30%,61100
1990,Total,18 - 66 years,30%,65700
1990,Total,25 - 54 years,30%,75700
1990,Total,25 - 64 years,30%,74800
1990,Total,25 - 74 years,30%,72000
1990,Total,55 - 74 years,30%,65300
1990,Total,67 years and older,30%,57600
1990,Total,75 years and older,30%,56800
1990,Total,Total,40%,72400
1990,Total,16 - 24 years,40%,41600
1990,Total,16 - 64 years,40%,75400
1990,Total,16 - 74 years,40%,74500
1990,Total,18 - 66 years,40%,80100
1990,Total,25 - 54 years,40%,93200
1990,Total,25 - 64 years,40%,91600
1990,Total,25 - 74 years,40%,87500
1990,Total,55 - 74 years,40%,76800
1990,Total,67 years and older,40%,63700
1990,Total,75 years and older,40%,61600
1990,Total,Total,50%,87400
1990,Total,16 - 24 years,50%,51400
1990,Total,16 - 64 years,50%,92400
1990,Total,16 - 74 years,50%,90600
1990,Total,18 - 66 years,50%,97100
1990,Total,25 - 54 years,50%,112600
1990,Total,25 - 64 years,50%,110100
1990,Total,25 - 74 years,50%,105300
1990,Total,55 - 74 years,50%,90100
1990,Total,67 years and older,50%,70000
1990,Total,75 years and older,50%,66300
1990,Total,Total,60%,106000
1990,Total,16 - 24 years,60%,62800
1990,Total,16 - 64 years,60%,112600
1990,Total,16 - 74 years,60%,110200
1990,Total,18 - 66 years,60%,117300
1990,Total,25 - 54 years,60%,134200
1990,Total,25 - 64 years,60%,131300
1990,Total,25 - 74 years,60%,126300
1990,Total,55 - 74 years,60%,106700
1990,Total,67 years and older,60%,78700
1990,Total,75 years and older,60%,71800
1990,Total,Total,70%,130500
1990,Total,16 - 24 years,70%,74400
1990,Total,16 - 64 years,70%,137500
1990,Total,16 - 74 years,70%,134700
1990,Total,18 - 66 years,70%,141800
1990,Total,25 - 54 years,70%,159400
1990,Total,25 - 64 years,70%,156200
1990,Total,25 - 74 years,70%,150900
1990,Total,55 - 74 years,70%,127900
1990,Total,67 years and older,70%,90000
1990,Total,75 years and older,70%,80300
1990,Total,Total,80%,163100
1990,Total,16 - 24 years,80%,91300
1990,Total,16 - 64 years,80%,170900
1990,Total,16 - 74 years,80%,167400
1990,Total,18 - 66 years,80%,174700
1990,Total,25 - 54 years,80%,193100
1990,Total,25 - 64 years,80%,189500
1990,Total,25 - 74 years,80%,183800
1990,Total,55 - 74 years,80%,156300
1990,Total,67 years and older,80%,108500
1990,Total,75 years and older,80%,91300
1990,Total,Total,90%,217600
1990,Total,16 - 24 years,90%,120200
1990,Total,16 - 64 years,90%,225900
1990,Total,16 - 74 years,90%,222100
1990,Total,18 - 66 years,90%,230000
1990,Total,25 - 54 years,90%,250900
1990,Total,25 - 64 years,90%,247100
1990,Total,25 - 74 years,90%,240700
1990,Total,55 - 74 years,90%,207400
1990,Total,67 years and older,90%,146400
1990,Total,75 years and older,90%,112400
1990,Total,Total,95%,278000
1990,Total,16 - 24 years,95%,151200
1990,Total,16 - 64 years,95%,286800
1990,Total,16 - 74 years,95%,283100
1990,Total,18 - 66 years,95%,291600
1990,Total,25 - 54 years,95%,312200
1990,Total,25 - 64 years,95%,309500
1990,Total,25 - 74 years,95%,303700
1990,Total,55 - 74 years,95%,270400
1990,Total,67 years and older,95%,191100
1990,Total,75 years and older,95%,144500
1990,Total,Total,99%,446100
1990,Total,16 - 24 years,99%,237200
1990,Total,16 - 64 years,99%,454100
1990,Total,16 - 74 years,99%,453500
1990,Total,18 - 66 years,99%,461600
1990,Total,25 - 54 years,99%,484500
1990,Total,25 - 64 years,99%,487200
1990,Total,25 - 74 years,99%,482700
1990,Total,55 - 74 years,99%,475500
1990,Total,67 years and older,99%,351800
1990,Total,75 years and older,99%,279100
1990,Total,Total,Mean - conditional,111600
1990,Total,16 - 24 years,Mean - conditional,62500
1990,Total,16 - 64 years,Mean - conditional,115400
1990,Total,16 - 74 years,Mean - conditional,114000
1990,Total,18 - 66 years,Mean - conditional,119900
1990,Total,25 - 54 years,Mean - conditional,133700
1990,Total,25 - 64 years,Mean - conditional,132000
1990,Total,25 - 74 years,Mean - conditional,128300
1990,Total,55 - 74 years,Mean - conditional,114000
1990,Total,67 years and older,Mean - conditional,86900
1990,Total,75 years and older,Mean - conditional,75800
1990,Total,Total,Number - conditional,171505
1990,Total,16 - 24 years,Number - conditional,34672
1990,Total,16 - 64 years,Number - conditional,145249
1990,Total,16 - 74 years,Number - conditional,160453
1990,Total,18 - 66 years,Number - conditional,140741
1990,Total,25 - 54 years,Number - conditional,91023
1990,Total,25 - 64 years,Number - conditional,110577
1990,Total,25 - 74 years,Number - conditional,125781
1990,Total,55 - 74 years,Number - conditional,34758
1990,Total,67 years and older,Number - conditional,22838
1990,Total,75 years and older,Number - conditional,11052
1990,Men,Total,10%,40900
1990,Men,16 - 24 years,10%,19000
1990,Men,16 - 64 years,10%,38600
1990,Men,16 - 74 years,10%,40400
1990,Men,18 - 66 years,10%,49800
1990,Men,25 - 54 years,10%,69100
1990,Men,25 - 64 years,10%,68400
1990,Men,25 - 74 years,10%,64700
1990,Men,55 - 74 years,10%,58500
1990,Men,67 years and older,10%,50300
1990,Men,75 years and older,10%,47500
1990,Men,Total,20%,64300
1990,Men,16 - 24 years,20%,28400
1990,Men,16 - 64 years,20%,66000
1990,Men,16 - 74 years,20%,65900
1990,Men,18 - 66 years,20%,75000
1990,Men,25 - 54 years,20%,98900
1990,Men,25 - 64 years,20%,96400
1990,Men,25 - 74 years,20%,89800
1990,Men,55 - 74 years,20%,74400
1990,Men,67 years and older,20%,58800
1990,Men,75 years and older,20%,55700
1990,Men,Total,30%,83600
1990,Men,16 - 24 years,30%,38100
1990,Men,16 - 64 years,30%,89900
1990,Men,16 - 74 years,30%,88000
1990,Men,18 - 66 years,30%,98800
1990,Men,25 - 54 years,30%,122900
1990,Men,25 - 64 years,30%,119600
1990,Men,25 - 74 years,30%,113100
1990,Men,55 - 74 years,30%,91800
1990,Men,67 years and older,30%,65600
1990,Men,75 years and older,30%,60900
1990,Men,Total,40%,105500
1990,Men,16 - 24 years,40%,49600
1990,Men,16 - 64 years,40%,113300
1990,Men,16 - 74 years,40%,110600
1990,Men,18 - 66 years,40%,120600
1990,Men,25 - 54 years,40%,142600
1990,Men,25 - 64 years,40%,139200
1990,Men,25 - 74 years,40%,133100
1990,Men,55 - 74 years,40%,109500
1990,Men,67 years and older,40%,73300
1990,Men,75 years and older,40%,66000
1990,Men,Total,50%,128100
1990,Men,16 - 24 years,50%,62000
1990,Men,16 - 64 years,50%,135500
1990,Men,16 - 74 years,50%,132600
1990,Men,18 - 66 years,50%,141200
1990,Men,25 - 54 years,50%,162500
1990,Men,25 - 64 years,50%,158800
1990,Men,25 - 74 years,50%,152900
1990,Men,55 - 74 years,50%,127500
1990,Men,67 years and older,50%,84400
1990,Men,75 years and older,50%,71700
1990,Men,Total,60%,150800
1990,Men,16 - 24 years,60%,74400
1990,Men,16 - 64 years,60%,158500
1990,Men,16 - 74 years,60%,155100
1990,Men,18 - 66 years,60%,163400
1990,Men,25 - 54 years,60%,183800
1990,Men,25 - 64 years,60%,180000
1990,Men,25 - 74 years,60%,174300
1990,Men,55 - 74 years,60%,146400
1990,Men,67 years and older,60%,96800
1990,Men,75 years and older,60%,80000
1990,Men,Total,70%,177100
1990,Men,16 - 24 years,70%,91600
1990,Men,16 - 64 years,70%,184600
1990,Men,16 - 74 years,70%,181000
1990,Men,18 - 66 years,70%,188900
1990,Men,25 - 54 years,70%,209500
1990,Men,25 - 64 years,70%,205700
1990,Men,25 - 74 years,70%,199700
1990,Men,55 - 74 years,70%,169200
1990,Men,67 years and older,70%,114900
1990,Men,75 years and older,70%,91100
1990,Men,Total,80%,211900
1990,Men,16 - 24 years,80%,112700
1990,Men,16 - 64 years,80%,219200
1990,Men,16 - 74 years,80%,215800
1990,Men,18 - 66 years,80%,223500
1990,Men,25 - 54 years,80%,244700
1990,Men,25 - 64 years,80%,241000
1990,Men,25 - 74 years,80%,234500
1990,Men,55 - 74 years,80%,201100
1990,Men,67 years and older,80%,140600
1990,Men,75 years and older,80%,104000
1990,Men,Total,90%,273600
1990,Men,16 - 24 years,90%,146900
1990,Men,16 - 64 years,90%,281800
1990,Men,16 - 74 years,90%,277900
1990,Men,18 - 66 years,90%,286500
1990,Men,25 - 54 years,90%,307900
1990,Men,25 - 64 years,90%,305000
1990,Men,25 - 74 years,90%,299200
1990,Men,55 - 74 years,90%,264100
1990,Men,67 years and older,90%,187000
1990,Men,75 years and older,90%,133800
1990,Men,Total,95%,340300
1990,Men,16 - 24 years,95%,181700
1990,Men,16 - 64 years,95%,347100
1990,Men,16 - 74 years,95%,344400
1990,Men,18 - 66 years,95%,352800
1990,Men,25 - 54 years,95%,376100
1990,Men,25 - 64 years,95%,374800
1990,Men,25 - 74 years,95%,368400
1990,Men,55 - 74 years,95%,342100
1990,Men,67 years and older,95%,240100
1990,Men,75 years and older,95%,178000
1990,Men,Total,99%,528300
1990,Men,16 - 24 years,99%,278600
1990,Men,16 - 64 years,99%,533200
1990,Men,16 - 74 years,99%,533600
1990,Men,18 - 66 years,99%,543500
1990,Men,25 - 54 years,99%,568100
1990,Men,25 - 64 years,99%,571900
1990,Men,25 - 74 years,99%,570000
1990,Men,55 - 74 years,99%,575300
1990,Men,67 years and older,99%,457500
