Year,Sex,Age,Education,Income and taxes,Unit,Value
1990,Total,Total,Total,Total annual income,Mean - total,1116000.0
1990,Total,16 - 24 years,Total,Total annual income,Mean - total,625000.0
1990,Total,75 years and over,Total,Total annual income,Mean - total,759000.0
1990,Men,Total,Total,Total annual income,Mean - total,1485000.0
1990,Men,16 - 24 years,Total,Total annual income,Mean - total,751000.0
1990,Men,75 years and over,Total,Total annual income,Mean - total,890000.0
1990,Women,Total,Total,Total annual income,Mean - total,753000.0
1990,Women,16 - 24 years,Total,Total annual income,Mean - total,494000.0
1990,Women,75 years and over,Total,Total annual income,Mean - total,667000.0
1990,Total,Total,Basic education,Total annual income,Mean - total,863000.0
1990,Total,16 - 24 years,Basic education,Total annual income,Mean - total,610000.0
1990,Total,75 years and over,Basic education,Total annual income,Mean - total,688000.0
1990,Men,Total,Basic education,Total annual income,Mean - total,1132000.0
1990,Men,16 - 24 years,Basic education,Total annual income,Mean - total,736000.0
1990,Men,75 years and over,Basic education,Total annual income,Mean - total,767000.0
1990,Women,Total,Basic education,Total annual income,Mean - total,677000.0
1990,Women,16 - 24 years,Basic education,Total annual income,Mean - total,467000.0
1990,Women,75 years and over,Basic education,Total annual income,Mean - total,649000.0
1990,Total,Total,Upper secondary education,Total annual income,Mean - total,1294000.0
1990,Total,16 - 24 years,Upper secondary education,Total annual income,Mean - total,659000.0
1990,Total,75 years and over,Upper secondary education,Total annual income,Mean - total,966000.0
1990,Men,Total,Upper secondary education,Total annual income,Mean - total,1608000.0
1990,Men,16 - 24 years,Upper secondary education,Total annual income,Mean - total,790000.0
1990,Men,75 years and over,Upper secondary education,Total annual income,Mean - total,1030000.0
1990,Women,Total,Upper secondary education,Total annual income,Mean - total,793000.0
1990,Women,16 - 24 years,Upper secondary education,Total annual income,Mean - total,546000.0
1990,Women,75 years and over,Upper secondary education,Total annual income,Mean - total,805000.0
1990,Total,Total,Upper secondary education: vocational,Total annual income,Mean - total,1454000.0
1990,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Mean - total,861000.0
1990,Total,75 years and over,Upper secondary education: vocational,Total annual income,Mean - total,963000.0
1990,Men,Total,Upper secondary education: vocational,Total annual income,Mean - total,1723000.0
1990,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Mean - total,1058000.0
1990,Men,75 years and over,Upper secondary education: vocational,Total annual income,Mean - total,1024000.0
1990,Women,Total,Upper secondary education: vocational,Total annual income,Mean - total,853000.0
1990,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Mean - total,612000.0
1990,Women,75 years and over,Upper secondary education: vocational,Total annual income,Mean - total,808000.0
1990,Total,Total,Upper secondary education: general,Total annual income,Mean - total,841000.0
1990,Total,16 - 24 years,Upper secondary education: general,Total annual income,Mean - total,558000.0
1990,Total,75 years and over,Upper secondary education: general,Total annual income,Mean - total,1122000.0
1990,Men,Total,Upper secondary education: general,Total annual income,Mean - total,1042000.0
1990,Men,16 - 24 years,Upper secondary education: general,Total annual income,Mean - total,609000.0
1990,Men,75 years and over,Upper secondary education: general,Total annual income,Mean - total,1372000.0
1990,Women,Total,Upper secondary education: general,Total annual income,Mean - total,702000.0
1990,Women,16 - 24 years,Upper secondary education: general,Total annual income,Mean - total,522000.0
1990,Women,75 years and over,Upper secondary education: general,Total annual income,Mean - total,722000.0
1990,Total,Total,Tertiary education,Total annual income,Mean - total,1826000.0
1990,Total,16 - 24 years,Tertiary education,Total annual income,Mean - total,676000.0
1990,Total,75 years and over,Tertiary education,Total annual income,Mean - total,1738000.0
1990,Men,Total,Tertiary education,Total annual income,Mean - total,2360000.0
1990,Men,16 - 24 years,Tertiary education,Total annual income,Mean - total,751000.0
1990,Men,75 years and over,Tertiary education,Total annual income,Mean - total,1762000.0
1990,Women,Total,Tertiary education,Total annual income,Mean - total,1155000.0
1990,Women,16 - 24 years,Tertiary education,Total annual income,Mean - total,619000.0
1990,Women,75 years and over,Tertiary education,Total annual income,Mean - total,1611000.0
1990,Total,Total,Short-cycle tertiary education,Total annual income,Mean - total,1263000.0
1990,Men,Total,Short-cycle tertiary education,Total annual income,Mean - total,1832000.0
1990,Women,Total,Short-cycle tertiary education,Total annual income,Mean - total,1010000.0
1990,Total,Total,Bachelor's or equivalent level,Total annual income,Mean - total,1544000.0
1990,Men,Total,Bachelor's or equivalent level,Total annual income,Mean - total,2045000.0
1990,Women,Total,Bachelor's or equivalent level,Total annual income,Mean - total,1116000.0
1990,Total,Total,Master's or equivalent level,Total annual income,Mean - total,2595000.0
1990,Men,Total,Master's or equivalent level,Total annual income,Mean - total,2880000.0
1990,Women,Total,Master's or equivalent level,Total annual income,Mean - total,1573000.0
1990,Total,Total,Doctoral or equivalent level,Total annual income,Mean - total,2640000.0
1990,Men,Total,Doctoral or equivalent level,Total annual income,Mean - total,2741000.0
1990,Women,Total,Doctoral or equivalent level,Total annual income,Mean - total,1892000.0
1990,Total,Total,Total,Total annual income,Median - total,874000.0
1990,Total,16 - 24 years,Total,Total annual income,Median - total,515000.0
1990,Total,75 years and over,Total,Total annual income,Median - total,663000.0
1990,Men,Total,Total,Total annual income,Median - total,1282000.0
1990,Men,16 - 24 years,Total,Total annual income,Median - total,621000.0
1990,Men,75 years and over,Total,Total annual income,Median - total,717000.0
1990,Women,Total,Total,Total annual income,Median - total,677000.0
1990,Women,16 - 24 years,Total,Total annual income,Median - total,440000.0
1990,Women,75 years and over,Total,Total annual income,Median - total,634000.0
1990,Total,Total,Basic education,Total annual income,Median - total,718000.0
1990,Total,16 - 24 years,Basic education,Total annual income,Median - total,498000.0
1990,Total,75 years and over,Basic education,Total annual income,Median - total,645000.0
1990,Men,Total,Basic education,Total annual income,Median - total,961000.0
1990,Men,16 - 24 years,Basic education,Total annual income,Median - total,605000.0
1990,Men,75 years and over,Basic education,Total annual income,Median - total,684000.0
1990,Women,Total,Basic education,Total annual income,Median - total,636000.0
1990,Women,16 - 24 years,Basic education,Total annual income,Median - total,417000.0
1990,Women,75 years and over,Basic education,Total annual income,Median - total,629000.0
1990,Total,Total,Upper secondary education,Total annual income,Median - total,1108000.0
1990,Total,16 - 24 years,Upper secondary education,Total annual income,Median - total,557000.0
1990,Total,75 years and over,Upper secondary education,Total annual income,Median - total,767000.0
1990,Men,Total,Upper secondary education,Total annual income,Median - total,1453000.0
1990,Men,16 - 24 years,Upper secondary education,Total annual income,Median - total,661000.0
1990,Men,75 years and over,Upper secondary education,Total annual income,Median - total,777000.0
1990,Women,Total,Upper secondary education,Total annual income,Median - total,719000.0
1990,Women,16 - 24 years,Upper secondary education,Total annual income,Median - total,488000.0
1990,Women,75 years and over,Upper secondary education,Total annual income,Median - total,742000.0
1990,Total,Total,Upper secondary education: vocational,Total annual income,Median - total,1275000.0
1990,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Median - total,732000.0
1990,Total,75 years and over,Upper secondary education: vocational,Total annual income,Median - total,764000.0
1990,Men,Total,Upper secondary education: vocational,Total annual income,Median - total,1541000.0
1990,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Median - total,975000.0
1990,Men,75 years and over,Upper secondary education: vocational,Total annual income,Median - total,773000.0
1990,Women,Total,Upper secondary education: vocational,Total annual income,Median - total,782000.0
1990,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Median - total,568000.0
1990,Women,75 years and over,Upper secondary education: vocational,Total annual income,Median - total,741000.0
1990,Total,Total,Upper secondary education: general,Total annual income,Median - total,672000.0
1990,Total,16 - 24 years,Upper secondary education: general,Total annual income,Median - total,479000.0
1990,Total,75 years and over,Upper secondary education: general,Total annual income,Median - total,961000.0
1990,Men,Total,Upper secondary education: general,Total annual income,Median - total,811000.0
1990,Men,16 - 24 years,Upper secondary education: general,Total annual income,Median - total,515000.0
1990,Men,75 years and over,Upper secondary education: general,Total annual income,Median - total,1011000.0
1990,Women,Total,Upper secondary education: general,Total annual income,Median - total,601000.0
1990,Women,16 - 24 years,Upper secondary education: general,Total annual income,Median - total,461000.0
1990,Women,75 years and over,Upper secondary education: general,Total annual income,Median - total,804000.0
1990,Total,Total,Tertiary education,Total annual income,Median - total,1560000.0
1990,Total,16 - 24 years,Tertiary education,Total annual income,Median - total,601000.0
1990,Total,75 years and over,Tertiary education,Total annual income,Median - total,1182000.0
1990,Men,Total,Tertiary education,Total annual income,Median - total,2105000.0
1990,Men,16 - 24 years,Tertiary education,Total annual income,Median - total,621000.0
1990,Men,75 years and over,Tertiary education,Total annual income,Median - total,1293000.0
1990,Women,Total,Tertiary education,Total annual income,Median - total,1084000.0
1990,Women,16 - 24 years,Tertiary education,Total annual income,Median - total,586000.0
1990,Women,75 years and over,Tertiary education,Total annual income,Median - total,663000.0
1990,Total,Total,Short-cycle tertiary education,Total annual income,Median - total,1130000.0
1990,Men,Total,Short-cycle tertiary education,Total annual income,Median - total,1729000.0
1990,Women,Total,Short-cycle tertiary education,Total annual income,Median - total,983000.0
1990,Total,Total,Bachelor's or equivalent level,Total annual income,Median - total,1405000.0
1990,Men,Total,Bachelor's or equivalent level,Total annual income,Median - total,1941000.0
1990,Women,Total,Bachelor's or equivalent level,Total annual income,Median - total,1084000.0
1990,Total,Total,Master's or equivalent level,Total annual income,Median - total,2262000.0
1990,Men,Total,Master's or equivalent level,Total annual income,Median - total,2536000.0
1990,Women,Total,Master's or equivalent level,Total annual income,Median - total,1462000.0
1990,Total,Total,Doctoral or equivalent level,Total annual income,Median - total,2407000.0
1990,Men,Total,Doctoral or equivalent level,Total annual income,Median - total,2506000.0
1990,Women,Total,Doctoral or equivalent level,Total annual income,Median - total,1832000.0
1990,Total,Total,Total,Total annual income,Number - total,171425000.0
1990,Total,16 - 24 years,Total,Total annual income,Number - total,34665000.0
1990,Total,75 years and over,Total,Total annual income,Number - total,11051000.0
1990,Men,Total,Total,Total annual income,Number - total,85044000.0
1990,Men,16 - 24 years,Total,Total annual income,Number - total,17700000.0
1990,Men,75 years and over,Total,Total annual income,Number - total,4535000.0
1990,Women,Total,Total,Total annual income,Number - total,86381000.0
1990,Women,16 - 24 years,Total,Total annual income,Number - total,16965000.0
1990,Women,75 years and over,Total,Total annual income,Number - total,6516000.0
1990,Total,Total,Basic education,Total annual income,Number - total,93452000.0
1990,Total,16 - 24 years,Basic education,Total annual income,Number - total,24190000.0
1990,Total,75 years and over,Basic education,Total annual income,Number - total,8876000.0
1990,Men,Total,Basic education,Total annual income,Number - total,38208000.0
1990,Men,16 - 24 years,Basic education,Total annual income,Number - total,12868000.0
1990,Men,75 years and over,Basic education,Total annual income,Number - total,2951000.0
1990,Women,Total,Basic education,Total annual income,Number - total,55244000.0
1990,Women,16 - 24 years,Basic education,Total annual income,Number - total,11322000.0
1990,Women,75 years and over,Basic education,Total annual income,Number - total,5925000.0
1990,Total,Total,Upper secondary education,Total annual income,Number - total,59420000.0
1990,Total,16 - 24 years,Upper secondary education,Total annual income,Number - total,10009000.0
1990,Total,75 years and over,Upper secondary education,Total annual income,Number - total,1937000.0
1990,Men,Total,Upper secondary education,Total annual income,Number - total,36511000.0
1990,Men,16 - 24 years,Upper secondary education,Total annual income,Number - total,4626000.0
1990,Men,75 years and over,Upper secondary education,Total annual income,Number - total,1389000.0
1990,Women,Total,Upper secondary education,Total annual income,Number - total,22909000.0
1990,Women,16 - 24 years,Upper secondary education,Total annual income,Number - total,5383000.0
1990,Women,75 years and over,Upper secondary education,Total annual income,Number - total,548000.0
1990,Total,Total,Upper secondary education: vocational,Total annual income,Number - total,43660000.0
1990,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Number - total,3156000.0
1990,Total,75 years and over,Upper secondary education: vocational,Total annual income,Number - total,1898000.0
1990,Men,Total,Upper secondary education: vocational,Total annual income,Number - total,30150000.0
1990,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Number - total,1763000.0
1990,Men,75 years and over,Upper secondary education: vocational,Total annual income,Number - total,1365000.0
1990,Women,Total,Upper secondary education: vocational,Total annual income,Number - total,13510000.0
1990,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Number - total,1393000.0
1990,Women,75 years and over,Upper secondary education: vocational,Total annual income,Number - total,533000.0
1990,Total,Total,Upper secondary education: general,Total annual income,Number - total,13820000.0
1990,Total,16 - 24 years,Upper secondary education: general,Total annual income,Number - total,6248000.0
1990,Total,75 years and over,Upper secondary education: general,Total annual income,Number - total,39000.0
1990,Men,Total,Upper secondary education: general,Total annual income,Number - total,5655000.0
1990,Men,16 - 24 years,Upper secondary education: general,Total annual income,Number - total,2604000.0
1990,Men,75 years and over,Upper secondary education: general,Total annual income,Number - total,24000.0
1990,Women,Total,Upper secondary education: general,Total annual income,Number - total,8165000.0
1990,Women,16 - 24 years,Upper secondary education: general,Total annual income,Number - total,3644000.0
1990,Women,75 years and over,Upper secondary education: general,Total annual income,Number - total,15000.0
1990,Total,Total,Tertiary education,Total annual income,Number - total,18504000.0
1990,Total,16 - 24 years,Tertiary education,Total annual income,Number - total,441000.0
1990,Total,75 years and over,Tertiary education,Total annual income,Number - total,232000.0
1990,Men,Total,Tertiary education,Total annual income,Number - total,10300000.0
1990,Men,16 - 24 years,Tertiary education,Total annual income,Number - total,192000.0
