Year,Sex,Age,Unit,Value
2004,Total,Total,Rate of individuals (%),10.0
2004,Total,0-15 years old,Rate of individuals (%),11.8
2004,Total,16-24 years old,Rate of individuals (%),14.7
2004,Total,25-34 years old,Rate of individuals (%),10.8
2004,Total,35-44 years old,Rate of individuals (%),9.1
2004,Total,45-54 years old,Rate of individuals (%),5.8
2004,Total,55-64 years old,Rate of individuals (%),5.0
2004,Total,65 + years old,Rate of individuals (%),10.3
2004,Female,Total,Rate of individuals (%),10.5
2004,Female,0-15 years old,Rate of individuals (%),11.6
2004,Female,16-24 years old,Rate of individuals (%),17.1
2004,Female,25-34 years old,Rate of individuals (%),11.5
2004,Female,35-44 years old,Rate of individuals (%),9.0
2004,Female,45-54 years old,Rate of individuals (%),5.3
2004,Female,55-64 years old,Rate of individuals (%),5.3
2004,Female,65 + years old,Rate of individuals (%),11.7
2004,Male,Total,Rate of individuals (%),9.6
2004,Male,0-15 years old,Rate of individuals (%),11.9
2004,Male,16-24 years old,Rate of individuals (%),12.4
2004,Male,25-34 years old,Rate of individuals (%),10.1
2004,Male,35-44 years old,Rate of individuals (%),9.2
2004,Male,45-54 years old,Rate of individuals (%),6.4
2004,Male,55-64 years old,Rate of individuals (%),4.7
2004,Male,65 + years old,Rate of individuals (%),8.8
2005,Total,Total,Rate of individuals (%),9.7
2005,Total,0-15 years old,Rate of individuals (%),10.3
2005,Total,16-24 years old,Rate of individuals (%),14.9
2005,Total,25-34 years old,Rate of individuals (%),11.5
2005,Total,35-44 years old,Rate of individuals (%),8.4
2005,Total,45-54 years old,Rate of individuals (%),6.6
2005,Total,55-64 years old,Rate of individuals (%),5.4
2005,Total,65 + years old,Rate of individuals (%),9.2
2005,Female,Total,Rate of individuals (%),9.6
2005,Female,0-15 years old,Rate of individuals (%),9.6
2005,Female,16-24 years old,Rate of individuals (%),15.7
2005,Female,25-34 years old,Rate of individuals (%),12.2
2005,Female,35-44 years old,Rate of individuals (%),9.0
2005,Female,45-54 years old,Rate of individuals (%),4.9
2005,Female,55-64 years old,Rate of individuals (%),4.7
2005,Female,65 + years old,Rate of individuals (%),9.8
2005,Male,Total,Rate of individuals (%),9.8
2005,Male,0-15 years old,Rate of individuals (%),10.9
2005,Male,16-24 years old,Rate of individuals (%),14.1
2005,Male,25-34 years old,Rate of individuals (%),10.8
2005,Male,35-44 years old,Rate of individuals (%),7.8
2005,Male,45-54 years old,Rate of individuals (%),8.3
2005,Male,55-64 years old,Rate of individuals (%),6.1
2005,Male,65 + years old,Rate of individuals (%),8.6
2006,Total,Total,Rate of individuals (%),9.6
2006,Total,0-15 years old,Rate of individuals (%),12.1
2006,Total,16-24 years old,Rate of individuals (%),11.4
2006,Total,25-34 years old,Rate of individuals (%),10.5
2006,Total,35-44 years old,Rate of individuals (%),9.5
2006,Total,45-54 years old,Rate of individuals (%),5.3
2006,Total,55-64 years old,Rate of individuals (%),3.7
2006,Total,65 + years old,Rate of individuals (%),11.8
2006,Female,Total,Rate of individuals (%),10.2
2006,Female,0-15 years old,Rate of individuals (%),12.1
2006,Female,16-24 years old,Rate of individuals (%),14.5
2006,Female,25-34 years old,Rate of individuals (%),12.4
2006,Female,35-44 years old,Rate of individuals (%),8.5
2006,Female,45-54 years old,Rate of individuals (%),4.0
2006,Female,55-64 years old,Rate of individuals (%),4.2
2006,Female,65 + years old,Rate of individuals (%),13.5
2006,Male,Total,Rate of individuals (%),9.1
2006,Male,0-15 years old,Rate of individuals (%),12.2
2006,Male,16-24 years old,Rate of individuals (%),8.6
2006,Male,25-34 years old,Rate of individuals (%),8.7
2006,Male,35-44 years old,Rate of individuals (%),10.4
2006,Male,45-54 years old,Rate of individuals (%),6.6
2006,Male,55-64 years old,Rate of individuals (%),3.2
2006,Male,65 + years old,Rate of individuals (%),10.0
2007,Total,Total,Rate of individuals (%),10.1
2007,Total,0-15 years old,Rate of individuals (%),12.5
2007,Total,16-24 years old,Rate of individuals (%),10.6
2007,Total,25-34 years old,Rate of individuals (%),11.4
2007,Total,35-44 years old,Rate of individuals (%),7.8
2007,Total,45-54 years old,Rate of individuals (%),6.0
2007,Total,55-64 years old,Rate of individuals (%),4.8
2007,Total,65 + years old,Rate of individuals (%),15.1
2007,Female,Total,Rate of individuals (%),11.0
2007,Female,0-15 years old,Rate of individuals (%),13.4
2007,Female,16-24 years old,Rate of individuals (%),13.6
2007,Female,25-34 years old,Rate of individuals (%),11.9
2007,Female,35-44 years old,Rate of individuals (%),7.3
2007,Female,45-54 years old,Rate of individuals (%),5.6
2007,Female,55-64 years old,Rate of individuals (%),4.3
2007,Female,65 + years old,Rate of individuals (%),18.8
2007,Male,Total,Rate of individuals (%),9.1
2007,Male,0-15 years old,Rate of individuals (%),11.7
2007,Male,16-24 years old,Rate of individuals (%),7.7
2007,Male,25-34 years old,Rate of individuals (%),10.9
2007,Male,35-44 years old,Rate of individuals (%),8.2
2007,Male,45-54 years old,Rate of individuals (%),6.4
2007,Male,55-64 years old,Rate of individuals (%),5.4
2007,Male,65 + years old,Rate of individuals (%),11.0
2008,Total,Total,Rate of individuals (%),10.0
2008,Total,0-15 years old,Rate of individuals (%),11.8
2008,Total,16-24 years old,Rate of individuals (%),11.1
2008,Total,25-34 years old,Rate of individuals (%),11.2
2008,Total,35-44 years old,Rate of individuals (%),7.5
2008,Total,45-54 years old,Rate of individuals (%),6.1
2008,Total,55-64 years old,Rate of individuals (%),5.8
2008,Total,65 + years old,Rate of individuals (%),15.0
2008,Female,Total,Rate of individuals (%),10.6
2008,Female,0-15 years old,Rate of individuals (%),12.5
2008,Female,16-24 years old,Rate of individuals (%),11.5
2008,Female,25-34 years old,Rate of individuals (%),11.1
2008,Female,35-44 years old,Rate of individuals (%),7.0
2008,Female,45-54 years old,Rate of individuals (%),6.0
2008,Female,55-64 years old,Rate of individuals (%),5.0
2008,Female,65 + years old,Rate of individuals (%),19.7
2008,Male,Total,Rate of individuals (%),9.3
2008,Male,0-15 years old,Rate of individuals (%),11.1
2008,Male,16-24 years old,Rate of individuals (%),10.8
2008,Male,25-34 years old,Rate of individuals (%),11.3
2008,Male,35-44 years old,Rate of individuals (%),7.9
2008,Male,45-54 years old,Rate of individuals (%),6.3
2008,Male,55-64 years old,Rate of individuals (%),6.7
2008,Male,65 + years old,Rate of individuals (%),9.5
2009,Total,Total,Rate of individuals (%),10.2
2009,Total,0-15 years old,Rate of individuals (%),10.1
2009,Total,16-24 years old,Rate of individuals (%),14.2
2009,Total,25-34 years old,Rate of individuals (%),12.4
2009,Total,35-44 years old,Rate of individuals (%),8.6
2009,Total,45-54 years old,Rate of individuals (%),6.5
2009,Total,55-64 years old,Rate of individuals (%),6.3
2009,Total,65 + years old,Rate of individuals (%),12.4
2009,Female,Total,Rate of individuals (%),11.1
2009,Female,0-15 years old,Rate of individuals (%),10.6
2009,Female,16-24 years old,Rate of individuals (%),18.3
2009,Female,25-34 years old,Rate of individuals (%),12.3
2009,Female,35-44 years old,Rate of individuals (%),8.7
2009,Female,45-54 years old,Rate of individuals (%),4.4
2009,Female,55-64 years old,Rate of individuals (%),4.9
2009,Female,65 + years old,Rate of individuals (%),17.9
2009,Male,Total,Rate of individuals (%),9.3
2009,Male,0-15 years old,Rate of individuals (%),9.6
2009,Male,16-24 years old,Rate of individuals (%),10.2
2009,Male,25-34 years old,Rate of individuals (%),12.5
2009,Male,35-44 years old,Rate of individuals (%),8.5
2009,Male,45-54 years old,Rate of individuals (%),8.6
2009,Male,55-64 years old,Rate of individuals (%),7.7
2009,Male,65 + years old,Rate of individuals (%),6.1
2010,Total,Total,Rate of individuals (%),9.8
2010,Total,0-15 years old,Rate of individuals (%),12.9
2010,Total,16-24 years old,Rate of individuals (%),14.8
2010,Total,25-34 years old,Rate of individuals (%),13.3
2010,Total,35-44 years old,Rate of individuals (%),7.8
2010,Total,45-54 years old,Rate of individuals (%),7.8
2010,Total,55-64 years old,Rate of individuals (%),3.3
2010,Total,65 + years old,Rate of individuals (%),4.9
2010,Female,Total,Rate of individuals (%),9.8
2010,Female,0-15 years old,Rate of individuals (%),13.2
2010,Female,16-24 years old,Rate of individuals (%),17.3
2010,Female,25-34 years old,Rate of individuals (%),13.3
2010,Female,35-44 years old,Rate of individuals (%),6.6
2010,Female,45-54 years old,Rate of individuals (%),5.4
2010,Female,55-64 years old,Rate of individuals (%),2.6
2010,Female,65 + years old,Rate of individuals (%),6.6
2010,Male,Total,Rate of individuals (%),9.8
2010,Male,0-15 years old,Rate of individuals (%),12.7
2010,Male,16-24 years old,Rate of individuals (%),12.5
2010,Male,25-34 years old,Rate of individuals (%),13.3
2010,Male,35-44 years old,Rate of individuals (%),9.0
2010,Male,45-54 years old,Rate of individuals (%),10.2
2010,Male,55-64 years old,Rate of individuals (%),3.9
2010,Male,65 + years old,Rate of individuals (%),3.0
2011,Total,Total,Rate of individuals (%),9.2
2011,Total,0-15 years old,Rate of individuals (%),11.6
2011,Total,16-24 years old,Rate of individuals (%),12.8
2011,Total,25-34 years old,Rate of individuals (%),14.6
2011,Total,35-44 years old,Rate of individuals (%),6.9
2011,Total,45-54 years old,Rate of individuals (%),6.7
2011,Total,55-64 years old,Rate of individuals (%),4.9
2011,Total,65 + years old,Rate of individuals (%),4.3
2011,Female,Total,Rate of individuals (%),9.5
2011,Female,0-15 years old,Rate of individuals (%),12.6
2011,Female,16-24 years old,Rate of individuals (%),13.6
2011,Female,25-34 years old,Rate of individuals (%),16.5
2011,Female,35-44 years old,Rate of individuals (%),7.3
2011,Female,45-54 years old,Rate of individuals (%),4.8
2011,Female,55-64 years old,Rate of individuals (%),3.0
2011,Female,65 + years old,Rate of individuals (%),5.5
2011,Male,Total,Rate of individuals (%),9.0
2011,Male,0-15 years old,Rate of individuals (%),10.7
2011,Male,16-24 years old,Rate of individuals (%),12.1
2011,Male,25-34 years old,Rate of individuals (%),12.7
2011,Male,35-44 years old,Rate of individuals (%),6.6
2011,Male,45-54 years old,Rate of individuals (%),8.6
2011,Male,55-64 years old,Rate of individuals (%),6.8
2011,Male,65 + years old,Rate of individuals (%),3.0
2012,Total,Total,Rate of individuals (%),7.9
2012,Total,0-15 years old,Rate of individuals (%),10.6
2012,Total,16-24 years old,Rate of individuals (%),9.6
2012,Total,25-34 years old,Rate of individuals (%),11.8
2012,Total,35-44 years old,Rate of individuals (%),7.8
2012,Total,45-54 years old,Rate of individuals (%),5.1
2012,Total,55-64 years old,Rate of individuals (%),3.6
2012,Total,65 + years old,Rate of individuals (%),4.5
2012,Female,Total,Rate of individuals (%),7.5
2012,Female,0-15 years old,Rate of individuals (%),11.2
2012,Female,16-24 years old,Rate of individuals (%),10.5
2012,Female,25-34 years old,Rate of individuals (%),10.3
2012,Female,35-44 years old,Rate of individuals (%),7.4
2012,Female,45-54 years old,Rate of individuals (%),3.2
2012,Female,55-64 years old,Rate of individuals (%),2.2
2012,Female,65 + years old,Rate of individuals (%),4.5
2012,Male,Total,Rate of individuals (%),8.4
2012,Male,0-15 years old,Rate of individuals (%),10.1
2012,Male,16-24 years old,Rate of individuals (%),8.8
2012,Male,25-34 years old,Rate of individuals (%),13.2
2012,Male,35-44 years old,Rate of individuals (%),8.1
2012,Male,45-54 years old,Rate of individuals (%),6.9
2012,Male,55-64 years old,Rate of individuals (%),5.0
2012,Male,65 + years old,Rate of individuals (%),4.6
2013,Total,Total,Rate of individuals (%),9.3
2013,Total,0-15 years old,Rate of individuals (%),12.6
2013,Total,16-24 years old,Rate of individuals (%),13.7
2013,Total,25-34 years old,Rate of individuals (%),13.5
2013,Total,35-44 years old,Rate of individuals (%),9.0
2013,Total,45-54 years old,Rate of individuals (%),5.0
2013,Total,55-64 years old,Rate of individuals (%),4.1
2013,Total,65 + years old,Rate of individuals (%),4.0
2013,Female,Total,Rate of individuals (%),8.9
2013,Female,0-15 years old,Rate of individuals (%),12.1
2013,Female,16-24 years old,Rate of individuals (%),15.8
2013,Female,25-34 years old,Rate of individuals (%),14.3
2013,Female,35-44 years old,Rate of individuals (%),8.5
2013,Female,45-54 years old,Rate of individuals (%),2.9
2013,Female,55-64 years old,Rate of individuals (%),2.7
2013,Female,65 + years old,Rate of individuals (%),4.0
2013,Male,Total,Rate of individuals (%),9.6
2013,Male,0-15 years old,Rate of individuals (%),13.2
2013,Male,16-24 years old,Rate of individuals (%),11.8
2013,Male,25-34 years old,Rate of individuals (%),12.7
2013,Male,35-44 years old,Rate of individuals (%),9.5
2013,Male,45-54 years old,Rate of individuals (%),7.1
2013,Male,55-64 years old,Rate of individuals (%),5.5
2013,Male,65 + years old,Rate of individuals (%),3.9
2014,Total,Total,Rate of individuals (%),7.9
2014,Total,0-15 years old,Rate of individuals (%),10.2
2014,Total,16-24 years old,Rate of individuals (%),9.0
2014,Total,25-34 years old,Rate of individuals (%),9.2
2014,Total,35-44 years old,Rate of individuals (%),7.9
2014,Total,45-54 years old,Rate of individuals (%),6.3
2014,Total,55-64 years old,Rate of individuals (%),3.5
2014,Total,65 + years old,Rate of individuals (%),6.9
2014,Female,Total,Rate of individuals (%),7.7
2014,Female,0-15 years old,Rate of individuals (%),10.2
2014,Female,16-24 years old,Rate of individuals (%),9.6
2014,Female,25-34 years old,Rate of individuals (%),10.6
2014,Female,35-44 years old,Rate of individuals (%),6.7
2014,Female,45-54 years old,Rate of individuals (%),4.4
2014,Female,55-64 years old,Rate of individuals (%),2.7
2014,Female,65 + years old,Rate of individuals (%),7.4
2014,Male,Total,Rate of individuals (%),8.1
2014,Male,0-15 years old,Rate of individuals (%),10.2
2014,Male,16-24 years old,Rate of individuals (%),8.5
2014,Male,25-34 years old,Rate of individuals (%),7.8
2014,Male,35-44 years old,Rate of individuals (%),9.0
2014,Male,45-54 years old,Rate of individuals (%),8.3
2014,Male,55-64 years old,Rate of individuals (%),4.2
2014,Male,65 + years old,Rate of individuals (%),6.3
2015,Total,Total,Rate of individuals (%),9.2
2015,Total,0-15 years old,Rate of individuals (%),11.7
2015,Total,16-24 years old,Rate of individuals (%),12.2
2015,Total,25-34 years old,Rate of individuals (%),14.9
2015,Total,35-44 years old,Rate of individuals (%),7.4
2015,Total,45-54 years old,Rate of individuals (%),5.0
2015,Total,55-64 years old,Rate of individuals (%),5.3
2015,Total,65 + years old,Rate of individuals (%),5.8
2015,Female,Total,Rate of individuals (%),9.1
2015,Female,0-15 years old,Rate of individuals (%),11.6
2015,Female,16-24 years old,Rate of individuals (%),12.3
2015,Female,25-34 years old,Rate of individuals (%),17.1
2015,Female,35-44 years old,Rate of individuals (%),6.5
2015,Female,45-54 years old,Rate of individuals (%),3.4
2015,Female,55-64 years old,Rate of individuals (%),4.0
2015,Female,65 + years old,Rate of individuals (%),7.1
2015,Male,Total,Rate of individuals (%),9.3
2015,Male,0-15 years old,Rate of individuals (%),11.7
2015,Male,16-24 years old,Rate of individuals (%),12.0
2015,Male,25-34 years old,Rate of individuals (%),12.8
2015,Male,35-44 years old,Rate of individuals (%),8.3
2015,Male,45-54 years old,Rate of individuals (%),6.7
2015,Male,55-64 years old,Rate of individuals (%),6.6
2015,Male,65 + years old,Rate of individuals (%),4.5
2016,Total,Total,Rate of individuals (%),8.8
2016,Total,0-15 years old,Rate of individuals (%),11.0
2016,Total,16-24 years old,Rate of individuals (%),11.1
