Year,Sex,Age,median_monthly_inc
2005,Boys,5 years and younger,11000
2006,Boys,5 years and younger,12000
2007,Boys,5 years and younger,13000
2008,Boys,5 years and younger,14000
2009,Boys,5 years and younger,15000
2010,Boys,5 years and younger,16000
2011,Boys,5 years and younger,16000
2012,Boys,5 years and younger,17000
2013,Boys,5 years and younger,18000
2014,Boys,5 years and younger,18000
2015,Boys,5 years and younger,19000
2016,Boys,5 years and younger,19000
2017,Boys,5 years and younger,19000
2005,Girls,5 years and younger,11000
2006,Girls,5 years and younger,12000
2007,Girls,5 years and younger,13000
2008,Girls,5 years and younger,14000
2009,Girls,5 years and younger,15000
2010,Girls,5 years and younger,16000
2011,Girls,5 years and younger,16000
2012,Girls,5 years and younger,17000
2013,Girls,5 years and younger,18000
2014,Girls,5 years and younger,18000
2015,Girls,5 years and younger,18000
2016,Girls,5 years and younger,19000
2017,Girls,5 years and younger,19000
2005,Boys,6 - 12 years old,11000
2006,Boys,6 - 12 years old,12000
2007,Boys,6 - 12 years old,13000
2008,Boys,6 - 12 years old,14000
2009,Boys,6 - 12 years old,15000
2010,Boys,6 - 12 years old,16000
2011,Boys,6 - 12 years old,16000
2012,Boys,6 - 12 years old,17000
2013,Boys,6 - 12 years old,18000
2014,Boys,6 - 12 years old,18000
2015,Boys,6 - 12 years old,18000
2016,Boys,6 - 12 years old,19000
2017,Boys,6 - 12 years old,19000
2005,Girls,6 - 12 years old,10000
2006,Girls,6 - 12 years old,12000
2007,Girls,6 - 12 years old,13000
2008,Girls,6 - 12 years old,14000
2009,Girls,6 - 12 years old,15000
2010,Girls,6 - 12 years old,16000
2011,Girls,6 - 12 years old,16000
2012,Girls,6 - 12 years old,17000
2013,Girls,6 - 12 years old,18000
2014,Girls,6 - 12 years old,18000
2015,Girls,6 - 12 years old,19000
2016,Girls,6 - 12 years old,19000
2017,Girls,6 - 12 years old,19000
2005,Boys,13 years old and older,45000
2006,Boys,13 years old and older,50000
2007,Boys,13 years old and older,57000
2008,Boys,13 years old and older,55000
2009,Boys,13 years old and older,49000
2010,Boys,13 years old and older,53000
2011,Boys,13 years old and older,52000
2012,Boys,13 years old and older,58000
2013,Boys,13 years old and older,60000
2014,Boys,13 years old and older,63000
2015,Boys,13 years old and older,72000
2016,Boys,13 years old and older,79000
2017,Boys,13 years old and older,84000
2005,Girls,13 years old and older,44000
2006,Girls,13 years old and older,48000
2007,Girls,13 years old and older,51000
2008,Girls,13 years old and older,50000
2009,Girls,13 years old and older,48000
2010,Girls,13 years old and older,53000
2011,Girls,13 years old and older,56000
2012,Girls,13 years old and older,62000
2013,Girls,13 years old and older,63000
2014,Girls,13 years old and older,67000
2015,Girls,13 years old and older,72000
2016,Girls,13 years old and older,78000
2017,Girls,13 years old and older,80000
