Year,Month,Citizenship,n_passengers
2002,Jan,Passenger total,
2002,Jan,Iceland,
2002,Jan,Foreigners,
2002,Jan,Austria,
2002,Jan,Australia / New Zealand,
2002,Jan,U.S.A.,
2002,Jan,Belgium,
2002,Jan,U.K.,
2002,Jan,Denmark,
2002,Jan,Estonia / Latvia / Lithuania,
2002,Jan,Finland,
2002,Jan,France,
2002,Jan,Netherlands,
2002,Jan,Hong Kong,
2002,Jan,India,
2002,Jan,Ireland,
2002,Jan,Israel,
2002,Jan,Italy,
2002,Jan,Japan,
2002,Jan,Canada,
2002,Jan,China,
2002,Jan,Norway,
2002,Jan,Poland,
2002,Jan,Russia,
2002,Jan,Singapore,
2002,Jan,Spain,
2002,Jan,South Korea,
2002,Jan,Switzerland,
2002,Jan,Sweden,
2002,Jan,Taiwan,
2002,Jan,Germany,
2002,Jan,Other countries,
2002,Feb,Passenger total,
2002,Feb,Iceland,
2002,Feb,Foreigners,
2002,Feb,Austria,
2002,Feb,Australia / New Zealand,
2002,Feb,U.S.A.,
2002,Feb,Belgium,
2002,Feb,U.K.,
2002,Feb,Denmark,
2002,Feb,Estonia / Latvia / Lithuania,
2002,Feb,Finland,
2002,Feb,France,
2002,Feb,Netherlands,
2002,Feb,Hong Kong,
2002,Feb,India,
2002,Feb,Ireland,
2002,Feb,Israel,
2002,Feb,Italy,
2002,Feb,Japan,
2002,Feb,Canada,
2002,Feb,China,
2002,Feb,Norway,
2002,Feb,Poland,
2002,Feb,Russia,
2002,Feb,Singapore,
2002,Feb,Spain,
2002,Feb,South Korea,
2002,Feb,Switzerland,
2002,Feb,Sweden,
2002,Feb,Taiwan,
2002,Feb,Germany,
2002,Feb,Other countries,
2002,Mar,Passenger total,33616
2002,Mar,Iceland,16966
2002,Mar,Foreigners,16650
2002,Mar,Austria,
2002,Mar,Australia / New Zealand,
2002,Mar,U.S.A.,4238
2002,Mar,Belgium,
2002,Mar,U.K.,3401
2002,Mar,Denmark,1329
2002,Mar,Estonia / Latvia / Lithuania,
2002,Mar,Finland,414
2002,Mar,France,660
2002,Mar,Netherlands,611
2002,Mar,Hong Kong,
2002,Mar,India,
2002,Mar,Ireland,
2002,Mar,Israel,
2002,Mar,Italy,102
2002,Mar,Japan,282
2002,Mar,Canada,181
2002,Mar,China,
2002,Mar,Norway,1459
2002,Mar,Poland,
2002,Mar,Russia,
2002,Mar,Singapore,
2002,Mar,Spain,77
2002,Mar,South Korea,
2002,Mar,Switzerland,170
2002,Mar,Sweden,1241
2002,Mar,Taiwan,
2002,Mar,Germany,1264
2002,Mar,Other countries,1221
2002,Apr,Passenger total,35695
2002,Apr,Iceland,16655
2002,Apr,Foreigners,19040
2002,Apr,Austria,
2002,Apr,Australia / New Zealand,
2002,Apr,U.S.A.,3286
2002,Apr,Belgium,
2002,Apr,U.K.,5156
2002,Apr,Denmark,1159
2002,Apr,Estonia / Latvia / Lithuania,
2002,Apr,Finland,643
2002,Apr,France,687
2002,Apr,Netherlands,680
2002,Apr,Hong Kong,
2002,Apr,India,
2002,Apr,Ireland,
