"Former citizenship","Age","1991 Total","1991 Males","1991 Females","1992 Total","1992 Males","1992 Females","1993 Total","1993 Males","1993 Females","1994 Total","1994 Males","1994 Females","1995 Total","1995 Males","1995 Females","1996 Total","1996 Males","1996 Females","1997 Total","1997 Males","1997 Females","1998 Total","1998 Males","1998 Females","1999 Total","1999 Males","1999 Females","2000 Total","2000 Males","2000 Females","2001 Total","2001 Males","2001 Females","2002 Total","2002 Males","2002 Females","2003 Total","2003 Males","2003 Females","2004 Total","2004 Males","2004 Females","2005 Total","2005 Males","2005 Females","2006 Total","2006 Males","2006 Females","2007 Total","2007 Males","2007 Females","2008 Total","2008 Males","2008 Females","2009 Total","2009 Males","2009 Females","2010 Total","2010 Males","2010 Females","2011 Total","2011 Males","2011 Females","2012 Total","2012 Males","2012 Females","2013 Total","2013 Males","2013 Females","2014 Total","2014 Males","2014 Females","2015 Total","2015 Males","2015 Females","2016 Total","2016 Males","2016 Females","2017 Total","2017 Males","2017 Females","2018 Total","2018 Males","2018 Females"
"Total","Total",161,84,77,129,52,77,136,64,72,200,82,118,198,82,116,270,110,160,239,98,141,305,116,189,234,98,136,286,101,185,352,117,235,356,133,223,463,188,275,671,284,387,726,323,403,844,354,490,647,276,371,914,389,525,728,314,414,450,185,265,370,169,201,413,167,246,597,238,359,595,238,357,801,318,483,703,292,411,637,260,377,569,259,310
"Denmark","Total",29,20,9,21,9,12,22,11,11,14,4,10,25,9,16,9,7,2,6,3,3,23,7,16,21,15,6,17,5,12,15,5,10,12,4,8,24,13,11,5,3,2,9,4,5,15,5,10,8,4,4,3,1,2,6,2,4,2,0,2,6,4,2,1,0,1,0,0,0,5,2,3,11,5,6,35,10,25,22,9,13,9,3,6
"Finland","Total",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,2,1,1,6,2,4,5,1,4,2,0,2,3,1,2,2,2,0,3,1,2,1,0,1,1,0,1,1,0,1,2,0,2,0,0,0,6,2,4,2,0,2,2,0,2,2,0,2,1,0,1
"Norway","Total",7,3,4,2,1,1,0,0,0,4,2,2,1,1,0,1,0,1,5,2,3,7,4,3,2,2,0,7,3,4,2,1,1,2,0,2,3,1,2,8,5,3,4,3,1,4,3,1,4,1,3,7,4,3,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0
"Sweden","Total",4,1,3,0,0,0,1,0,1,3,0,3,0,0,0,1,1,0,1,0,1,1,0,1,2,2,0,3,3,0,3,1,2,6,2,4,5,2,3,7,3,4,16,7,9,11,5,6,9,2,7,1,1,0,5,2,3,3,2,1,6,2,4,11,1,10,3,1,2,6,2,4,11,4,7,17,7,10,10,4,6,15,5,10
"Austria","Total",0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0
"Belgium","Total",1,1,0,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0
"Bulgaria","Total",1,1,0,1,0,1,0,0,0,3,1,2,0,0,0,1,0,1,6,3,3,5,4,1,1,0,1,3,1,2,4,2,2,2,1,1,8,3,5,9,3,6,2,0,2,9,5,4,5,2,3,6,5,1,10,5,5,9,3,6,1,1,0,5,2,3,10,6,4,10,8,2,4,1,3,3,1,2,2,2,0,1,1,0
"Czech Republic","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,1,3,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,5,1,4,1,0,1,3,0,3,1,1,0,1,0,1,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0,1,1,0,4,2,2,3,2,1,7,1,6,10,6,4
"Germany","Total",9,1,8,8,3,5,2,1,1,5,1,4,2,0,2,5,1,4,5,2,3,7,2,5,2,2,0,6,0,6,3,0,3,4,1,3,5,3,2,5,1,4,8,5,3,7,4,3,9,3,6,7,3,4,4,3,1,5,2,3,1,0,1,4,2,2,4,2,2,12,2,10,1,0,1,2,0,2,3,2,1,3,0,3
