"Quarter","Region","Sex","Age","Employed, % (of population)","Underemployed, % (of employed)","Unemployment rate, % (of labour force)"
"2003Q1","Total","Males and females","16-74",77.0,6.0,3.9
"2003Q1","Total","Males and females","16-24",60.7,18.3,8.5
"2003Q1","Total","Males and females","25-54",88.2,4.0,3.1
"2003Q1","Total","Males and females","55-74",60.3,3.4,2.8
"2003Q1","Total","Males and females","16-64",81.8,6.1,3.9
"2003Q1","Total","Males and females","25-64",87.2,4.0,3.0
"2003Q1","Total","Males","16-74",79.8,3.6,4.5
"2003Q1","Total","Males","16-24",58.2,14.9,11.0
"2003Q1","Total","Males","25-54",91.4,1.6,3.1
"2003Q1","Total","Males","55-74",66.5,2.5,4.3
"2003Q1","Total","Males","16-64",83.8,3.7,4.5
"2003Q1","Total","Males","25-64",90.5,1.8,3.3
"2003Q1","Total","Females","16-74",74.1,8.6,3.2
"2003Q1","Total","Females","16-24",63.3,21.7,5.9
"2003Q1","Total","Females","25-54",84.8,6.6,3.1
"2003Q1","Total","Females","55-74",54.3,4.5,0.9
"2003Q1","Total","Females","16-64",79.7,8.8,3.2
"2003Q1","Total","Females","25-64",83.9,6.3,2.7
"2003Q1","Capital region","Males and females","16-74",76.5,5.5,3.9
"2003Q1","Capital region","Males and females","16-24",62.1,16.7,6.2
"2003Q1","Capital region","Males and females","25-54",86.7,3.6,3.7
"2003Q1","Capital region","Males and females","55-74",59.8,3.5,2.7
"2003Q1","Capital region","Males and females","16-64",81.3,5.7,4.0
"2003Q1","Capital region","Males and females","25-64",86.4,3.6,3.5
"2003Q1","Capital region","Males","16-74",79.7,4.0,4.6
"2003Q1","Capital region","Males","16-24",57.1,15.0,10.7
"2003Q1","Capital region","Males","25-54",90.3,2.0,3.4
"2003Q1","Capital region","Males","55-74",67.2,3.6,4.3
"2003Q1","Capital region","Males","16-64",83.3,4.0,4.6
"2003Q1","Capital region","Males","25-64",89.9,2.3,3.5
"2003Q1","Capital region","Females","16-74",73.5,7.2,3.2
"2003Q1","Capital region","Females","16-24",67.0,18.0,2.1
"2003Q1","Capital region","Females","25-54",83.0,5.3,4.0
"2003Q1","Capital region","Females","55-74",53.4,3.3,0.8
"2003Q1","Capital region","Females","16-64",79.4,7.4,3.3
"2003Q1","Capital region","Females","25-64",82.7,5.1,3.5
"2003Q1","Outside Capital region","Males and females","16-74",77.9,6.8,3.8
"2003Q1","Outside Capital region","Males and females","16-24",58.1,21.7,12.7
"2003Q1","Outside Capital region","Males and females","25-54",90.8,4.8,2.0
"2003Q1","Outside Capital region","Males and females","55-74",61.1,3.3,2.9
"2003Q1","Outside Capital region","Males and females","16-64",82.6,7.0,3.7
"2003Q1","Outside Capital region","Males and females","25-64",88.7,4.6,2.1
"2003Q1","Outside Capital region","Males","16-74",80.1,3.0,4.3
"2003Q1","Outside Capital region","Males","16-24",60.1,14.8,11.5
"2003Q1","Outside Capital region","Males","25-54",93.6,1.0,2.6
"2003Q1","Outside Capital region","Males","55-74",65.5,1.0,4.2
"2003Q1","Outside Capital region","Males","16-64",84.7,3.2,4.3
"2003Q1","Outside Capital region","Males","25-64",91.5,1.0,2.9
"2003Q1","Outside Capital region","Females","16-74",75.4,11.1,3.1
"2003Q1","Outside Capital region","Females","16-24",55.6,31.1,14.3
"2003Q1","Outside Capital region","Females","25-54",88.2,8.7,1.4
"2003Q1","Outside Capital region","Females","55-74",56.0,6.5,1.1
"2003Q1","Outside Capital region","Females","16-64",80.4,11.2,3.0
"2003Q1","Outside Capital region","Females","25-64",85.9,8.4,1.2
"2003Q2","Total","Males and females","16-74",80.7,4.1,4.1
"2003Q2","Total","Males and females","16-24",71.7,12.8,12.2
"2003Q2","Total","Males and females","25-54",90.0,2.4,2.3
"2003Q2","Total","Males and females","55-74",62.8,2.4,2.3
"2003Q2","Total","Males and females","16-64",85.4,4.2,4.2
"2003Q2","Total","Males and females","25-64",88.9,2.5,2.3
"2003Q2","Total","Males","16-74",85.0,2.7,4.0
"2003Q2","Total","Males","16-24",74.6,10.4,12.5
"2003Q2","Total","Males","25-54",93.9,1.1,2.1
"2003Q2","Total","Males","55-74",69.3,1.2,2.3
"2003Q2","Total","Males","16-64",88.9,2.8,4.2
"2003Q2","Total","Males","25-64",92.6,1.2,2.3
"2003Q2","Total","Females","16-74",76.4,5.7,4.1
"2003Q2","Total","Females","16-24",68.5,15.5,11.9
"2003Q2","Total","Females","25-54",86.1,3.8,2.4
"2003Q2","Total","Females","55-74",56.5,3.8,2.3
"2003Q2","Total","Females","16-64",81.8,5.8,4.2
"2003Q2","Total","Females","25-64",85.1,3.9,2.4
"2003Q2","Capital region","Males and females","16-74",79.9,4.4,5.3
"2003Q2","Capital region","Males and females","16-24",69.6,13.7,15.2
"2003Q2","Capital region","Males and females","25-54",88.8,2.5,3.2
"2003Q2","Capital region","Males and females","55-74",62.1,2.6,2.2
"2003Q2","Capital region","Males and females","16-64",84.3,4.5,5.5
"2003Q2","Capital region","Males and females","25-64",88.2,2.6,3.1
"2003Q2","Capital region","Males","16-74",84.3,3.5,5.4
"2003Q2","Capital region","Males","16-24",71.0,13.9,15.7
"2003Q2","Capital region","Males","25-54",93.0,1.4,3.0
"2003Q2","Capital region","Males","55-74",67.8,1.5,3.0
"2003Q2","Capital region","Males","16-64",87.6,3.6,5.6
"2003Q2","Capital region","Males","25-64",92.1,1.5,3.2
"2003Q2","Capital region","Females","16-74",75.8,5.4,5.2
"2003Q2","Capital region","Females","16-24",68.2,13.4,14.7
"2003Q2","Capital region","Females","25-54",84.6,3.7,3.3
"2003Q2","Capital region","Females","55-74",57.6,3.7,1.5
"2003Q2","Capital region","Females","16-64",81.0,5.4,5.4
"2003Q2","Capital region","Females","25-64",84.4,3.7,3.1
"2003Q2","Outside Capital region","Males and females","16-74",82.2,3.6,1.8
"2003Q2","Outside Capital region","Males and females","16-24",76.0,11.0,6.0
"2003Q2","Outside Capital region","Males and females","25-54",92.4,2.3,0.5
"2003Q2","Outside Capital region","Males and females","55-74",63.8,2.0,2.4
"2003Q2","Outside Capital region","Males and females","16-64",87.5,3.8,1.8
"2003Q2","Outside Capital region","Males and females","25-64",90.1,2.3,0.9
"2003Q2","Outside Capital region","Males","16-74",86.2,1.3,1.7
"2003Q2","Outside Capital region","Males","16-24",81.5,4.7,6.7
"2003Q2","Outside Capital region","Males","25-54",95.5,0.6,0.3
"2003Q2","Outside Capital region","Males","55-74",70.9,0.8,1.6
"2003Q2","Outside Capital region","Males","16-64",91.1,1.4,1.8
"2003Q2","Outside Capital region","Males","25-64",93.5,0.7,0.7
"2003Q2","Outside Capital region","Females","16-74",77.6,6.4,1.9
"2003Q2","Outside Capital region","Females","16-24",69.3,20.1,4.9
"2003Q2","Outside Capital region","Females","25-54",89.2,4.1,0.7
"2003Q2","Outside Capital region","Females","55-74",54.6,4.0,3.7
"2003Q2","Outside Capital region","Females","16-64",83.4,6.6,1.7
"2003Q2","Outside Capital region","Females","25-64",86.5,4.2,1.2
"2003Q3","Total","Males and females","16-74",82.2,3.8,2.6
"2003Q3","Total","Males and females","16-24",78.8,8.0,4.4
"2003Q3","Total","Males and females","25-54",90.2,2.7,2.3
"2003Q3","Total","Males and females","55-74",63.3,3.1,2.0
"2003Q3","Total","Males and females","16-64",86.9,3.8,2.7
"2003Q3","Total","Males and females","25-64",89.0,2.9,2.3
"2003Q3","Total","Males","16-74",85.1,2.2,2.9
"2003Q3","Total","Males","16-24",78.0,8.1,5.4
"2003Q3","Total","Males","25-54",93.4,1.2,2.2
"2003Q3","Total","Males","55-74",68.0,0.0,2.9
"2003Q3","Total","Males","16-64",89.4,2.3,3.0
"2003Q3","Total","Males","25-64",92.3,1.0,2.4
"2003Q3","Total","Females","16-74",79.3,5.4,2.3
"2003Q3","Total","Females","16-24",79.6,7.9,3.3
"2003Q3","Total","Females","25-54",86.9,4.4,2.4
"2003Q3","Total","Females","55-74",58.8,6.6,1.1
"2003Q3","Total","Females","16-64",84.4,5.4,2.4
"2003Q3","Total","Females","25-64",85.7,4.8,2.2
"2003Q3","Capital region","Males and females","16-74",81.4,3.8,2.8
"2003Q3","Capital region","Males and females","16-24",76.2,9.2,4.4
"2003Q3","Capital region","Males and females","25-54",90.0,2.5,2.7
