"Quarter","Duration","Number","%"
"2003Q1","Unemployed",6100,100.0
"2003Q1","Already found work",300,5.2
"2003Q1","Less than one month",1500,24.2
"2003Q1","1-2 months",1500,23.9
"2003Q1","3-5 months",1600,25.5
"2003Q1","6 to 11 months",800,12.4
"2003Q1","12 months or more",500,8.7
"2003Q2","Unemployed",6800,100.0
"2003Q2","Already found work",1000,15.0
"2003Q2","Less than one month",2400,35.4
"2003Q2","1-2 months",1100,16.7
"2003Q2","3-5 months",1400,20.4
"2003Q2","6 to 11 months",400,6.6
"2003Q2","12 months or more",400,6.0
"2003Q3","Unemployed",4400,100.0
"2003Q3","Already found work",600,14.1
"2003Q3","Less than one month",1100,25.9
"2003Q3","1-2 months",800,19.0
"2003Q3","3-5 months",600,14.7
"2003Q3","6 to 11 months",800,17.4
"2003Q3","12 months or more",400,8.9
"2003Q4","Unemployed",4500,100.0
"2003Q4","Already found work",200,4.4
"2003Q4","Less than one month",1500,32.6
"2003Q4","1-2 months",1300,29.0
"2003Q4","3-5 months",700,14.4
"2003Q4","6 to 11 months",600,12.5
"2003Q4","12 months or more",300,7.0
"2004Q1","Unemployed",4800,100.0
"2004Q1","Already found work",200,3.9
"2004Q1","Less than one month",1500,31.0
"2004Q1","1-2 months",1700,35.1
"2004Q1","3-5 months",600,12.9
"2004Q1","6 to 11 months",300,6.3
"2004Q1","12 months or more",500,10.8
"2004Q2","Unemployed",6600,100.0
"2004Q2","Already found work",1400,21.0
"2004Q2","Less than one month",2100,31.0
"2004Q2","1-2 months",1100,16.8
"2004Q2","3-5 months",700,10.5
"2004Q2","6 to 11 months",700,10.3
"2004Q2","12 months or more",700,10.4
"2004Q3","Unemployed",4100,100.0
"2004Q3","Already found work",500,13.2
"2004Q3","Less than one month",1700,41.5
"2004Q3","1-2 months",1000,23.6
"2004Q3","3-5 months",300,7.7
"2004Q3","6 to 11 months",300,7.6
"2004Q3","12 months or more",300,6.4
"2004Q4","Unemployed",3900,100.0
"2004Q4","Already found work",300,8.4
"2004Q4","Less than one month",1200,29.9
"2004Q4","1-2 months",900,21.9
"2004Q4","3-5 months",700,16.8
"2004Q4","6 to 11 months",300,8.5
"2004Q4","12 months or more",600,14.5
"2005Q1","Unemployed",4800,100.0
"2005Q1","Already found work",300,7.1
"2005Q1","Less than one month",1400,28.6
"2005Q1","1-2 months",1300,27.1
"2005Q1","3-5 months",600,12.8
"2005Q1","6 to 11 months",700,13.7
"2005Q1","12 months or more",500,10.6
"2005Q2","Unemployed",5000,100.0
"2005Q2","Already found work",1500,29.0
"2005Q2","Less than one month",1400,28.5
"2005Q2","1-2 months",900,17.0
"2005Q2","3-5 months",500,9.1
"2005Q2","6 to 11 months",200,4.4
"2005Q2","12 months or more",600,12.1
"2005Q3","Unemployed",2900,100.0
"2005Q3","Already found work",500,15.3
"2005Q3","Less than one month",1200,40.5
"2005Q3","1-2 months",400,12.6
"2005Q3","3-5 months",300,9.4
"2005Q3","6 to 11 months",200,7.2
"2005Q3","12 months or more",400,15.0
"2005Q4","Unemployed",4400,100.0
"2005Q4","Already found work",700,16.2
"2005Q4","Less than one month",2100,46.3
"2005Q4","1-2 months",800,18.7
"2005Q4","3-5 months",300,7.8
"2005Q4","6 to 11 months",100,2.4
"2005Q4","12 months or more",400,8.7
"2006Q1","Unemployed",4000,100.0
"2006Q1","Already found work",500,12.8
"2006Q1","Less than one month",2000,50.5
"2006Q1","1-2 months",600,16.1
"2006Q1","3-5 months",400,9.2
"2006Q1","6 to 11 months",200,5.3
"2006Q1","12 months or more",200,6.1
"2006Q2","Unemployed",7200,100.0
"2006Q2","Already found work",2000,28.5
"2006Q2","Less than one month",2800,38.6
"2006Q2","1-2 months",1200,16.7
"2006Q2","3-5 months",400,5.9
"2006Q2","6 to 11 months",300,4.6
"2006Q2","12 months or more",400,5.7
"2006Q3","Unemployed",4500,100.0
"2006Q3","Already found work",1400,30.8
"2006Q3","Less than one month",1900,41.2
"2006Q3","1-2 months",300,7.0
"2006Q3","3-5 months",300,7.0
"2006Q3","6 to 11 months",300,5.7
"2006Q3","12 months or more",400,8.3
"2006Q4","Unemployed",4300,100.0
"2006Q4","Already found work",900,19.8
"2006Q4","Less than one month",1900,44.7
"2006Q4","1-2 months",700,15.0
"2006Q4","3-5 months",200,5.6
"2006Q4","6 to 11 months",100,3.0
"2006Q4","12 months or more",500,12.0
"2007Q1","Unemployed",3500,100.0
"2007Q1","Already found work",500,15.4
"2007Q1","Less than one month",1400,40.3
"2007Q1","1-2 months",700,20.9
"2007Q1","3-5 months",200,5.3
"2007Q1","6 to 11 months",100,1.7
"2007Q1","12 months or more",600,16.4
"2007Q2","Unemployed",5800,100.0
"2007Q2","Already found work",1900,33.1
"2007Q2","Less than one month",1900,32.3
"2007Q2","1-2 months",900,15.4
"2007Q2","3-5 months",500,9.3
"2007Q2","6 to 11 months",100,2.3
"2007Q2","12 months or more",400,7.6
"2007Q3","Unemployed",3800,100.0
"2007Q3","Already found work",1000,25.3
"2007Q3","Less than one month",1600,43.6
"2007Q3","1-2 months",700,19.5
"2007Q3","3-5 months",200,5.2
"2007Q3","6 to 11 months",100,3.1
"2007Q3","12 months or more",100,3.3
"2007Q4","Unemployed",3500,100.0
"2007Q4","Already found work",500,13.5
"2007Q4","Less than one month",1800,52.0
"2007Q4","1-2 months",600,16.3
"2007Q4","3-5 months",300,9.6
"2007Q4","6 to 11 months",100,1.6
"2007Q4","12 months or more",200,6.9
"2008Q1","Unemployed",4200,100.0
"2008Q1","Already found work",700,17.5
"2008Q1","Less than one month",1700,40.0
"2008Q1","1-2 months",1000,24.1
"2008Q1","3-5 months",300,8.4
"2008Q1","6 to 11 months",300,6.5
"2008Q1","12 months or more",100,3.5
"2008Q2","Unemployed",5700,100.0
"2008Q2","Already found work",1700,29.6
"2008Q2","Less than one month",2100,36.9
"2008Q2","1-2 months",1300,22.8
"2008Q2","3-5 months",300,4.9
"2008Q2","6 to 11 months",100,2.3
"2008Q2","12 months or more",200,3.5
"2008Q3","Unemployed",4800,100.0
"2008Q3","Already found work",1000,20.3
"2008Q3","Less than one month",1600,33.5
"2008Q3","1-2 months",1600,32.9
