"ISCED level","Type of education","Degrees","Year","Narrow field of study","Total","Males","Females"
"Total","Total","Total","1997","Total",8100,3242,4858
"Total","Total","Total","1997","Basic/broad, general programmes",0,0,0
"Total","Total","Total","1997","Literacy and numeracy",0,0,0
"Total","Total","Total","1997","Personal skills",0,0,0
"Total","Total","Total","1997","Teacher training and educational science",1498,266,1232
"Total","Total","Total","1997","Arts",226,81,145
"Total","Total","Total","1997","Humanities",1191,429,762
"Total","Total","Total","1997","Social and behavioural science",861,319,542
"Total","Total","Total","1997","Journalism and information",120,17,103
"Total","Total","Total","1997","Business and administration",1115,633,482
"Total","Total","Total","1997","Law",440,233,207
"Total","Total","Total","1997","Life science",230,95,135
"Total","Total","Total","1997","Physical science",183,116,67
"Total","Total","Total","1997","Mathematics and statistics",31,25,6
"Total","Total","Total","1997","Computing",418,327,91
"Total","Total","Total","1997","Science, not specified",5,3,2
"Total","Total","Total","1997","Engineering and engineering trades",265,237,28
"Total","Total","Total","1997","Manufacturing and processing",67,24,43
"Total","Total","Total","1997","Architecture and building",105,86,19
"Total","Total","Total","1997","Certified trades, not specified",0,0,0
"Total","Total","Total","1997","Agriculture, forestry and fishery",82,69,13
"Total","Total","Total","1997","Veterinary",0,0,0
"Total","Total","Total","1997","Health",1229,281,948
"Total","Total","Total","1997","Social services",34,1,33
"Total","Total","Total","1997","Personal services",0,0,0
"Total","Total","Total","1997","Transport services",0,0,0
"Total","Total","Total","1997","Environmental protection",0,0,0
"Total","Total","Total","1997","Security services",0,0,0
"Total","Total","Total","1997","Unknown",0,0,0
"Total","Total","Total","1998","Total",8462,3202,5260
"Total","Total","Total","1998","Basic/broad, general programmes",0,0,0
"Total","Total","Total","1998","Literacy and numeracy",0,0,0
"Total","Total","Total","1998","Personal skills",0,0,0
"Total","Total","Total","1998","Teacher training and educational science",1609,262,1347
"Total","Total","Total","1998","Arts",236,86,150
"Total","Total","Total","1998","Humanities",1125,378,747
"Total","Total","Total","1998","Social and behavioural science",887,300,587
"Total","Total","Total","1998","Journalism and information",121,11,110
"Total","Total","Total","1998","Business and administration",1270,655,615
"Total","Total","Total","1998","Law",414,222,192
"Total","Total","Total","1998","Life science",216,77,139
"Total","Total","Total","1998","Physical science",169,99,70
"Total","Total","Total","1998","Mathematics and statistics",32,26,6
"Total","Total","Total","1998","Computing",455,340,115
"Total","Total","Total","1998","Science, not specified",35,10,25
"Total","Total","Total","1998","Engineering and engineering trades",304,263,41
"Total","Total","Total","1998","Manufacturing and processing",66,24,42
"Total","Total","Total","1998","Architecture and building",113,93,20
"Total","Total","Total","1998","Certified trades, not specified",0,0,0
"Total","Total","Total","1998","Agriculture, forestry and fishery",76,59,17
"Total","Total","Total","1998","Veterinary",0,0,0
"Total","Total","Total","1998","Health",1297,293,1004
"Total","Total","Total","1998","Social services",37,4,33
"Total","Total","Total","1998","Personal services",0,0,0
"Total","Total","Total","1998","Transport services",0,0,0
"Total","Total","Total","1998","Environmental protection",0,0,0
"Total","Total","Total","1998","Security services",0,0,0
"Total","Total","Total","1998","Unknown",0,0,0
"Total","Total","Total","1999","Total",9667,3683,5984
"Total","Total","Total","1999","Basic/broad, general programmes",0,0,0
"Total","Total","Total","1999","Literacy and numeracy",0,0,0
"Total","Total","Total","1999","Personal skills",0,0,0
"Total","Total","Total","1999","Teacher training and educational science",1534,227,1307
"Total","Total","Total","1999","Arts",242,85,157
"Total","Total","Total","1999","Humanities",1290,443,847
"Total","Total","Total","1999","Social and behavioural science",973,353,620
"Total","Total","Total","1999","Journalism and information",130,18,112
"Total","Total","Total","1999","Business and administration",1766,859,907
"Total","Total","Total","1999","Law",439,220,219
"Total","Total","Total","1999","Life science",319,107,212
"Total","Total","Total","1999","Physical science",187,98,89
"Total","Total","Total","1999","Mathematics and statistics",33,22,11
"Total","Total","Total","1999","Computing",606,455,151
"Total","Total","Total","1999","Science, not specified",16,6,10
"Total","Total","Total","1999","Engineering and engineering trades",365,308,57
"Total","Total","Total","1999","Manufacturing and processing",60,23,37
"Total","Total","Total","1999","Architecture and building",131,99,32
"Total","Total","Total","1999","Certified trades, not specified",0,0,0
"Total","Total","Total","1999","Agriculture, forestry and fishery",64,50,14
"Total","Total","Total","1999","Veterinary",0,0,0
"Total","Total","Total","1999","Health",1345,285,1060
"Total","Total","Total","1999","Social services",38,4,34
"Total","Total","Total","1999","Personal services",129,21,108
"Total","Total","Total","1999","Transport services",0,0,0
"Total","Total","Total","1999","Environmental protection",0,0,0
"Total","Total","Total","1999","Security services",0,0,0
"Total","Total","Total","1999","Unknown",0,0,0
"Total","Total","Total","2000","Total",10126,3800,6326
"Total","Total","Total","2000","Basic/broad, general programmes",0,0,0
"Total","Total","Total","2000","Literacy and numeracy",0,0,0
"Total","Total","Total","2000","Personal skills",0,0,0
"Total","Total","Total","2000","Teacher training and educational science",1519,214,1305
"Total","Total","Total","2000","Arts",287,102,185
