"Type","Year","Men","Women"
"Maternity/paternity leave","2001",39,186
"Maternity/paternity leave","2002",67,187
"Maternity/paternity leave","2003",95,183
"Maternity/paternity leave","2004",96,182
"Maternity/paternity leave","2005",101,187
"Maternity/paternity leave","2006",100,185
"Maternity/paternity leave","2007",100,181
"Maternity/paternity leave","2008",102,178
"Maternity/paternity leave","2009",99,178
"Maternity/paternity leave","2010",93,179
"Maternity/paternity leave","2011",90,180
"Maternity/paternity leave","2012",88,180
"Maternity/paternity leave","2013",88,182
"Maternity/paternity leave","2014",88,182
"Maternity/paternity leave","2015",87,182
"Maternity/paternity leave","2016",86,183
"Maternity/paternity leave","2017",78,182
