"Year","Reason","Health services","Sex","Income quintiles","Proportion of individuals (%)","Proportion lower bounds (%)","Proportion upper bounds (%)"
"2007","Total","Dentist","Total","Total",7.4,6.5,8.4
"2007","Total","Dentist","Total","Bottom quintile 1-20%",11.3,8.9,14.3
"2007","Total","Dentist","Total","Second quintile 21-40%",7.6,5.7,10.2
"2007","Total","Dentist","Total","Third quintile 41-60%",5.5,3.9,7.8
"2007","Total","Dentist","Total","Fourth quintile 61-80%",7.2,5.3,9.6
"2007","Total","Dentist","Total","Top quintile 81-100%",5.6,4.0,7.8
"2007","Total","Dentist","Females","Total",7.6,6.3,9.1
"2007","Total","Dentist","Females","Bottom quintile 1-20%",11.0,7.9,15.2
"2007","Total","Dentist","Females","Second quintile 21-40%",8.5,5.7,12.3
"2007","Total","Dentist","Females","Third quintile 41-60%",5.0,2.9,8.4
"2007","Total","Dentist","Females","Fourth quintile 61-80%",6.4,4.0,9.9
"2007","Total","Dentist","Females","Top quintile 81-100%",6.8,4.4,10.5
"2007","Total","Dentist","Males","Total",7.2,6.0,8.7
"2007","Total","Dentist","Males","Bottom quintile 1-20%",11.7,8.2,16.4
"2007","Total","Dentist","Males","Second quintile 21-40%",6.7,4.2,10.6
"2007","Total","Dentist","Males","Third quintile 41-60%",6.0,3.8,9.4
"2007","Total","Dentist","Males","Fourth quintile 61-80%",7.9,5.3,11.6
"2007","Total","Dentist","Males","Top quintile 81-100%",4.6,2.7,7.5
"2007","Total","Doctor or medical specialist","Total","Total",10.9,9.8,12.1
"2007","Total","Doctor or medical specialist","Total","Bottom quintile 1-20%",16.4,13.5,19.8
"2007","Total","Doctor or medical specialist","Total","Second quintile 21-40%",13.2,10.6,16.4
"2007","Total","Doctor or medical specialist","Total","Third quintile 41-60%",11.6,9.1,14.5
"2007","Total","Doctor or medical specialist","Total","Fourth quintile 61-80%",9.1,7.0,11.8
"2007","Total","Doctor or medical specialist","Total","Top quintile 81-100%",5.1,3.5,7.2
"2007","Total","Doctor or medical specialist","Females","Total",10.7,9.2,12.4
"2007","Total","Doctor or medical specialist","Females","Bottom quintile 1-20%",18.4,14.4,23.2
"2007","Total","Doctor or medical specialist","Females","Second quintile 21-40%",13.5,10.0,18.0
"2007","Total","Doctor or medical specialist","Females","Third quintile 41-60%",9.0,6.1,13.1
"2007","Total","Doctor or medical specialist","Females","Fourth quintile 61-80%",7.7,5.0,11.5
"2007","Total","Doctor or medical specialist","Females","Top quintile 81-100%",4.0,2.2,7.2
"2007","Total","Doctor or medical specialist","Males","Total",11.2,9.6,12.9
"2007","Total","Doctor or medical specialist","Males","Bottom quintile 1-20%",14.1,10.2,19.0
"2007","Total","Doctor or medical specialist","Males","Second quintile 21-40%",12.9,9.3,17.6
"2007","Total","Doctor or medical specialist","Males","Third quintile 41-60%",13.9,10.3,18.5
"2007","Total","Doctor or medical specialist","Males","Fourth quintile 61-80%",10.4,7.4,14.5
"2007","Total","Doctor or medical specialist","Males","Top quintile 81-100%",5.9,3.7,9.2
"2007","Too expensive","Dentist","Total","Total",1.5,1.1,2.0
"2007","Too expensive","Dentist","Total","Bottom quintile 1-20%",3.1,1.9,5.0
"2007","Too expensive","Dentist","Total","Second quintile 21-40%",2.3,1.3,4.0
"2007","Too expensive","Dentist","Total","Third quintile 41-60%",1.2,0.5,2.6
"2007","Too expensive","Dentist","Total","Fourth quintile 61-80%",0.9,0.4,2.1
"2007","Too expensive","Dentist","Total","Top quintile 81-100%",0.2,0.0,1.1
"2007","Too expensive","Dentist","Females","Total",2.2,1.5,3.1
"2007","Too expensive","Dentist","Females","Bottom quintile 1-20%",4.0,2.2,7.1
"2007","Too expensive","Dentist","Females","Second quintile 21-40%",3.5,1.9,6.4
"2007","Too expensive","Dentist","Females","Third quintile 41-60%",1.6,0.6,4.2
"2007","Too expensive","Dentist","Females","Fourth quintile 61-80%",1.4,0.5,3.7
"2007","Too expensive","Dentist","Females","Top quintile 81-100%",0.3,0.0,2.4
"2007","Too expensive","Dentist","Males","Total",0.8,0.4,1.4
"2007","Too expensive","Dentist","Males","Bottom quintile 1-20%",2.0,0.8,4.8
"2007","Too expensive","Dentist","Males","Second quintile 21-40%",0.9,0.2,3.6
"2007","Too expensive","Dentist","Males","Third quintile 41-60%",0.8,0.2,3.0
"2007","Too expensive","Dentist","Males","Fourth quintile 61-80%",0.4,0.1,2.8
"2007","Too expensive","Dentist","Males","Top quintile 81-100%",0.0,0.0,0.0
"2007","Too expensive","Doctor or medical specialist","Total","Total",6.2,5.4,7.2
"2007","Too expensive","Doctor or medical specialist","Total","Bottom quintile 1-20%",10.5,8.2,13.4
"2007","Too expensive","Doctor or medical specialist","Total","Second quintile 21-40%",8.9,6.8,11.6
"2007","Too expensive","Doctor or medical specialist","Total","Third quintile 41-60%",6.2,4.5,8.6
"2007","Too expensive","Doctor or medical specialist","Total","Fourth quintile 61-80%",5.2,3.6,7.4
"2007","Too expensive","Doctor or medical specialist","Total","Top quintile 81-100%",0.9,0.4,2.1
"2007","Too expensive","Doctor or medical specialist","Females","Total",7.2,6.0,8.7
"2007","Too expensive","Doctor or medical specialist","Females","Bottom quintile 1-20%",13.5,10.1,17.9
"2007","Too expensive","Doctor or medical specialist","Females","Second quintile 21-40%",10.4,7.3,14.6
"2007","Too expensive","Doctor or medical specialist","Females","Third quintile 41-60%",4.8,2.8,8.2
"2007","Too expensive","Doctor or medical specialist","Females","Fourth quintile 61-80%",5.6,3.4,9.1
"2007","Too expensive","Doctor or medical specialist","Females","Top quintile 81-100%",1.1,0.4,3.5
"2007","Too expensive","Doctor or medical specialist","Males","Total",5.2,4.1,6.5
"2007","Too expensive","Doctor or medical specialist","Males","Bottom quintile 1-20%",6.8,4.3,10.8
"2007","Too expensive","Doctor or medical specialist","Males","Second quintile 21-40%",7.2,4.6,11.2
"2007","Too expensive","Doctor or medical specialist","Males","Third quintile 41-60%",7.5,5.0,11.2
"2007","Too expensive","Doctor or medical specialist","Males","Fourth quintile 61-80%",4.8,2.8,8.1
"2007","Too expensive","Doctor or medical specialist","Males","Top quintile 81-100%",0.7,0.2,2.6
"2007","Other reasons","Dentist","Total","Total",5.9,5.1,6.9
"2007","Other reasons","Dentist","Total","Bottom quintile 1-20%",8.2,6.2,10.9
"2007","Other reasons","Dentist","Total","Second quintile 21-40%",5.4,3.8,7.6
"2007","Other reasons","Dentist","Total","Third quintile 41-60%",4.4,3.0,6.4
"2007","Other reasons","Dentist","Total","Fourth quintile 61-80%",6.3,4.6,8.6
"2007","Other reasons","Dentist","Total","Top quintile 81-100%",5.4,3.9,7.6
"2007","Other reasons","Dentist","Females","Total",5.4,4.3,6.7
"2007","Other reasons","Dentist","Females","Bottom quintile 1-20%",7.0,4.6,10.6
"2007","Other reasons","Dentist","Females","Second quintile 21-40%",5.0,3.0,8.2
"2007","Other reasons","Dentist","Females","Third quintile 41-60%",3.4,1.8,6.4
"2007","Other reasons","Dentist","Females","Fourth quintile 61-80%",5.0,3.0,8.3
