"Year","Economic activity","Occupational group","Sex","Earnings and working hours","Mean","10%","20%","25% (1st quartile)","30%","40%","50% (median)","60%","70%","75% (3rd quartile)","80%","90%","Observations","Weighted bservations"
"2014","Total","Total","Total","Total earnings",563,321,375,396,415,452,493,540,602,644,694,852,39190,56460
"2014","Total","Total","Total","Hours paid",184.5,162.5,170.9,173.3,173.3,173.8,178.1,183.3,189.1,193.2,197.5,212.7,39190.0,56460.0
"2014","Total","Total","Men","Total earnings",625,353,410,434,456,500,544,598,667,714,767,932,19230,30070
"2014","Total","Total","Men","Hours paid",188.6,162.5,171.5,173.3,173.3,175.4,182.7,188.8,195.7,200.4,206.2,220.4,19230.0,30070.0
"2014","Total","Total","Women","Total earnings",492,296,346,367,384,415,446,480,527,557,596,728,19950,26390
"2014","Total","Total","Women","Hours paid",179.9,162.5,169.8,172.4,173.3,173.4,175.4,179.4,183.3,185.4,188.5,198.7,19950.0,26390.0
"2014","Total","Managers (1)","Total","Total earnings",924,518,593,626,655,727,794,875,971,1024,1139,1503,4070,6420
"2014","Total","Managers (1)","Total","Hours paid",180.0,162.5,165.0,171.3,173.3,173.3,173.3,173.4,181.0,186.8,191.6,206.9,4070.0,6420.0
"2014","Total","Managers (1)","Men","Total earnings",1007,550,638,674,711,770,850,924,1044,1152,1280,1675,2320,4000
"2014","Total","Managers (1)","Men","Hours paid",179.6,162.5,162.5,165.4,171.2,173.3,173.3,173.4,179.6,186.8,192.0,208.6,2320.0,4000.0
"2014","Total","Managers (1)","Women","Total earnings",789,485,544,565,596,644,709,786,867,920,973,1145,1750,2430
"2014","Total","Managers (1)","Women","Hours paid",180.7,162.5,173.3,173.3,173.3,173.3,173.3,174.3,183.1,186.8,190.8,202.8,1750.0,2430.0
"2014","Total","Professionals (2)","Total","Total earnings",600,393,424,439,454,488,530,583,651,690,736,879,12750,16130
"2014","Total","Professionals (2)","Total","Hours paid",182.3,164.5,173.3,173.3,173.3,174.1,177.5,181.4,185.1,188.2,191.4,202.9,12750.0,16130.0
"2014","Total","Professionals (2)","Men","Total earnings",710,427,484,511,535,590,647,706,775,816,867,1046,4650,5770
"2014","Total","Professionals (2)","Men","Hours paid",183.8,162.5,173.0,173.3,173.3,173.4,176.5,182.7,188.3,192.2,195.4,208.3,4650.0,5770.0
"2014","Total","Professionals (2)","Women","Total earnings",539,383,411,422,434,457,486,524,572,607,644,756,8100,10370
"2014","Total","Professionals (2)","Women","Hours paid",181.5,165.9,173.3,173.3,173.4,174.8,177.9,181.2,184.1,186.2,189.2,199.0,8100.0,10370.0
"2014","Total","Technicians and associate professionals (3)","Total","Total earnings",579,358,407,426,442,477,513,557,622,657,705,855,5650,7670
"2014","Total","Technicians and associate professionals (3)","Total","Hours paid",179.5,162.5,163.1,166.2,170.5,173.3,173.4,176.2,182.6,186.8,192.0,204.9,5650.0,7670.0
"2014","Total","Technicians and associate professionals (3)","Men","Total earnings",678,423,472,494,515,559,610,661,734,774,824,1013,2930,3910
"2014","Total","Technicians and associate professionals (3)","Men","Hours paid",182.6,162.5,164.2,166.7,171.2,173.3,173.4,179.2,189.7,193.9,197.7,213.3,2930.0,3910.0
"2014","Total","Technicians and associate professionals (3)","Women","Total earnings",477,330,369,385,398,426,452,477,508,529,550,643,2720,3770
"2014","Total","Technicians and associate professionals (3)","Women","Hours paid",176.2,162.5,162.5,165.0,170.2,173.3,173.4,175.0,179.3,181.7,184.3,194.6,2720.0,3770.0
"2014","Total","Clerks (4)","Total","Total earnings",431,298,334,348,363,389,414,441,479,502,518,586,3000,4400
"2014","Total","Clerks (4)","Total","Hours paid",176.8,162.5,162.7,165.5,169.3,173.3,173.4,175.7,180.0,182.8,185.8,195.8,3000.0,4400.0
"2014","Total","Clerks (4)","Men","Total earnings",464,303,356,375,387,414,440,478,511,533,563,651,620,950
"2014","Total","Clerks (4)","Men","Hours paid",181.5,162.5,166.4,171.3,171.6,173.3,174.0,179.9,185.7,188.7,192.6,210.5,620.0,950.0
"2014","Total","Clerks (4)","Women","Total earnings",423,297,332,345,357,381,408,434,469,488,513,571,2370,3450
"2014","Total","Clerks (4)","Women","Hours paid",175.5,162.5,162.5,164.8,167.3,173.2,173.4,175.2,178.3,181.1,183.7,193.3,2370.0,3450.0
"2014","Total","Service workers and shop and market sales workers (5)","Total","Total earnings",403,263,287,302,316,348,378,412,450,475,506,575,6350,8800
"2014","Total","Service workers and shop and market sales workers (5)","Total","Hours paid",183.7,162.5,169.8,171.6,173.3,174.8,179.6,184.2,189.0,192.0,196.2,208.9,6350.0,8800.0
"2014","Total","Service workers and shop and market sales workers (5)","Men","Total earnings",463,312,345,365,380,414,445,483,521,545,563,637,2770,4460
"2014","Total","Service workers and shop and market sales workers (5)","Men","Hours paid",188.3,162.5,171.3,173.3,173.7,179.8,185.2,189.9,195.7,199.8,205.1,216.7,2770.0,4460.0
"2014","Total","Service workers and shop and market sales workers (5)","Women","Total earnings",341,253,267,273,279,298,317,349,374,389,409,458,3570,4340
"2014","Total","Service workers and shop and market sales workers (5)","Women","Hours paid",179.0,163.4,168.5,170.4,171.9,173.5,175.6,179.4,183.5,185.2,186.8,196.7,3570.0,4340.0
"2014","Total","Craft and related trades workers (7)","Total","Total earnings",553,358,413,434,456,496,533,573,618,653,685,777,2530,5270
"2014","Total","Craft and related trades workers (7)","Total","Hours paid",195.1,168.6,173.4,175.6,178.3,185.3,191.5,197.4,204.8,208.6,213.7,228.5,2530.0,5270.0
"2014","Total","Craft and related trades workers (7)","Men","Total earnings",574,386,438,458,481,516,552,588,642,667,703,792,2170,4670
"2014","Total","Craft and related trades workers (7)","Men","Hours paid",195.6,168.8,173.8,176.4,179.5,185.9,192.5,198.1,205.0,208.9,213.7,228.7,2170.0,4670.0
"2014","Total","Craft and related trades workers (7)","Women","Total earnings",389,266,297,319,332,355,376,407,431,452,468,508,350,600
"2014","Total","Craft and related trades workers (7)","Women","Hours paid",191.6,167.7,173.3,173.3,173.7,176.8,183.4,191.8,201.3,207.1,214.0,227.2,350.0,600.0
"2014","Total","Plant and machine operators and assemblers (8)","Total","Total earnings",477,336,374,391,408,443,475,502,529,543,563,621,2200,3870
"2014","Total","Plant and machine operators and assemblers (8)","Total","Hours paid",198.8,168.6,173.5,176.3,179.7,184.6,190.3,198.7,209.2,214.9,222.2,243.9,2200.0,3870.0
"2014","Total","Plant and machine operators and assemblers (8)","Men","Total earnings",483,341,382,397,416,451,480,509,534,548,568,624,1950,3510
"2014","Total","Plant and machine operators and assemblers (8)","Men","Hours paid",200.3,168.9,174.1,177.4,181.0,185.9,192.5,201.0,211.2,217.1,224.9,246.4,1950.0,3510.0
"2014","Total","Plant and machine operators and assemblers (8)","Women","Total earnings",415,316,331,345,353,369,398,430,456,475,488,537,250,350
