"Income and taxes","Unit","Education","Sex","Age","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Total annual income","Mean - total","Total","Total","Total",1116,1224,1235,1237,1272,1340,1450,1579,1768,1970,2168,2414,2566,2754,2958,3391,3843,4592,4530,4347,4019,4316,4524,4782,5089,5407,5911,6419,6641
"Total annual income","Mean - total","Total","Total","16 - 24 years",625,670,648,630,647,677,733,791,884,970,1086,1130,1140,1156,1201,1309,1434,1587,1663,1501,1495,1631,1752,1867,1959,2123,2359,2587,2729
"Total annual income","Mean - total","Total","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Total","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Total","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Total","Total","75 years and over",759,844,858,881,859,905,964,1040,1115,1277,1432,1566,1703,1868,1978,2241,2543,3280,3466,3158,2798,2975,3085,3374,3705,3830,4247,5031,5201
"Total annual income","Mean - total","Total","Men","Total",1485,1620,1619,1613,1648,1727,1869,2025,2256,2492,2719,2996,3146,3313,3563,4059,4595,5427,5307,4998,4666,5040,5281,5549,5860,6218,6771,7250,7487
"Total annual income","Mean - total","Total","Men","16 - 24 years",751,803,762,736,752,781,853,916,1025,1123,1255,1297,1289,1282,1338,1476,1632,1774,1831,1599,1587,1730,1859,1976,2053,2239,2498,2742,2904
"Total annual income","Mean - total","Total","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Total","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Total","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Total","Men","75 years and over",890,992,997,1024,997,1050,1118,1208,1270,1486,1605,1792,1902,2047,2315,2550,2926,3921,3904,3561,3110,3316,3410,3697,4145,4273,4773,5428,5667
"Total annual income","Mean - total","Total","Women","Total",753,835,859,868,904,962,1042,1147,1297,1470,1640,1858,2009,2216,2376,2749,3116,3783,3773,3712,3387,3613,3790,4039,4342,4618,5071,5604,5806
"Total annual income","Mean - total","Total","Women","16 - 24 years",494,532,529,521,537,569,609,660,737,813,912,961,986,1024,1057,1135,1229,1394,1487,1398,1398,1526,1640,1755,1860,2002,2213,2425,2546
"Total annual income","Mean - total","Total","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Total","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Total","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Total","Women","75 years and over",667,743,764,781,763,805,857,922,1006,1130,1308,1407,1561,1738,1737,2017,2264,2809,3140,2857,2567,2722,2839,3130,3369,3490,3845,4721,4834
"Total annual income","Mean - total","Basic education","Total","Total",863,947,950,952,976,1028,1099,1188,1316,1454,1595,1777,1863,1981,2128,2382,2709,3073,3229,3157,2973,3219,3372,3556,3741,3943,4272,4692,4902
"Total annual income","Mean - total","Basic education","Total","16 - 24 years",610,655,625,606,621,645,693,745,827,907,1020,1062,1071,1078,1122,1226,1338,1466,1519,1376,1364,1485,1584,1669,1714,1838,2031,2230,2328
"Total annual income","Mean - total","Basic education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Basic education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Basic education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Basic education","Total","75 years and over",688,764,777,798,779,814,861,922,1001,1121,1273,1363,1474,1547,1633,1824,2048,2513,2924,2694,2423,2561,2674,2857,3141,3186,3535,4344,4479
"Total annual income","Mean - total","Basic education","Men","Total",1132,1232,1210,1208,1235,1292,1385,1487,1643,1792,1946,2125,2219,2283,2446,2722,3093,3421,3579,3495,3359,3676,3873,4043,4196,4461,4800,5161,5422
"Total annual income","Mean - total","Basic education","Men","16 - 24 years",736,788,737,711,730,749,811,872,959,1053,1180,1222,1221,1200,1259,1392,1532,1657,1687,1484,1459,1585,1700,1788,1838,1986,2207,2430,2560
"Total annual income","Mean - total","Basic education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Basic education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Basic education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Basic education","Men","75 years and over",767,849,846,888,862,898,946,1013,1092,1221,1343,1480,1536,1534,1742,1900,2150,2620,3035,2830,2517,2620,2740,2973,3164,3268,3655,4303,4622
"Total annual income","Mean - total","Basic education","Women","Total",677,750,768,772,795,842,897,977,1084,1215,1344,1527,1603,1757,1888,2124,2413,2801,2947,2879,2651,2836,2950,3138,3342,3481,3793,4260,4410
"Total annual income","Mean - total","Basic education","Women","16 - 24 years",467,504,496,485,495,525,558,599,675,742,838,882,900,934,958,1029,1108,1239,1317,1248,1250,1362,1441,1522,1559,1656,1816,1983,2035
"Total annual income","Mean - total","Basic education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Basic education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Basic education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Basic education","Women","75 years and over",649,724,745,755,740,775,821,880,960,1077,1242,1314,1448,1553,1589,1794,2007,2471,2881,2642,2388,2538,2648,2814,3133,3155,3492,4359,4426
"Total annual income","Mean - total","Upper secondary education","Total","Total",1294,1405,1416,1400,1427,1499,1628,1773,1966,2162,2365,2602,2734,2878,3082,3544,3948,4616,4517,4319,4022,4281,4449,4675,4978,5266,5799,6236,6418
"Total annual income","Mean - total","Upper secondary education","Total","16 - 24 years",659,704,699,684,696,740,817,888,1000,1090,1207,1251,1254,1284,1334,1451,1606,1797,1916,1734,1727,1856,1984,2133,2308,2554,2842,3065,3221
"Total annual income","Mean - total","Upper secondary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Upper secondary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Total annual income","Mean - total","Upper secondary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
