"Year","Sex","Age","Rate of individuals (%)","Rate lower bounds (%)","Rate upper bounds (%)","Number of individuals","Number lower bounds","Number upper bounds"
"2004","Total","Total",10.0,9.3,10.8,28100,26034,30260
"2004","Total","0-15 years old",11.8,10.3,13.3,8186,7188,9259
"2004","Total","16-24 years old",14.7,12.4,17.1,5313,4500,6202
"2004","Total","25-34 years old",10.8,8.8,13.1,4201,3411,5090
"2004","Total","35-44 years old",9.1,7.4,11.0,3763,3059,4557
"2004","Total","45-54 years old",5.8,4.3,7.6,2173,1611,2844
"2004","Total","55-64 years old",5.0,3.3,7.1,1272,851,1805
"2004","Total","65 + years old",10.3,7.8,13.4,3191,2396,4124
"2004","Female","Total",10.5,9.4,11.6,14561,13093,16122
"2004","Female","0-15 years old",11.6,9.7,13.8,3943,3286,4671
"2004","Female","16-24 years old",17.1,13.6,21.0,2960,2356,3637
"2004","Female","25-34 years old",11.5,8.7,14.8,2230,1685,2865
"2004","Female","35-44 years old",9.0,6.7,11.6,1860,1395,2408
"2004","Female","45-54 years old",5.3,3.4,7.7,971,626,1416
"2004","Female","55-64 years old",5.3,3.0,8.4,672,382,1071
"2004","Female","65 + years old",11.7,7.9,16.3,1925,1301,2695
"2004","Male","Total",9.6,8.6,10.7,13538,12112,15060
"2004","Male","0-15 years old",11.9,9.9,14.2,4242,3512,5053
"2004","Male","16-24 years old",12.4,9.7,15.6,2353,1835,2947
"2004","Male","25-34 years old",10.1,7.3,13.5,1971,1426,2624
"2004","Male","35-44 years old",9.2,6.8,12.1,1903,1398,2504
"2004","Male","45-54 years old",6.4,4.2,9.2,1203,786,1735
"2004","Male","55-64 years old",4.7,2.5,7.7,600,325,991
"2004","Male","65 + years old",8.8,5.7,12.8,1266,817,1838
"2005","Total","Total",9.7,9.0,10.5,27532,25486,29673
"2005","Total","0-15 years old",10.3,8.9,11.7,7138,6221,8130
"2005","Total","16-24 years old",14.9,12.6,17.4,5469,4620,6398
"2005","Total","25-34 years old",11.5,9.4,13.9,4549,3716,5482
"2005","Total","35-44 years old",8.4,6.8,10.2,3477,2808,4235
"2005","Total","45-54 years old",6.6,4.9,8.7,2545,1890,3324
"2005","Total","55-64 years old",5.4,3.8,7.3,1451,1023,1978
"2005","Total","65 + years old",9.2,7.0,11.9,2902,2188,3739
"2005","Female","Total",9.6,8.6,10.6,13540,12126,15047
"2005","Female","0-15 years old",9.6,7.8,11.6,3276,2673,3953
"2005","Female","16-24 years old",15.7,12.4,19.5,2796,2202,3469
"2005","Female","25-34 years old",12.2,9.3,15.7,2385,1809,3054
"2005","Female","35-44 years old",9.0,6.7,11.7,1881,1405,2443
"2005","Female","45-54 years old",4.9,3.2,7.2,937,609,1359
"2005","Female","55-64 years old",4.7,2.7,7.5,631,360,1005
"2005","Female","65 + years old",9.8,6.5,13.9,1634,1084,2323
"2005","Male","Total",9.8,8.8,10.9,13992,12539,15541
"2005","Male","0-15 years old",10.9,9.0,13.0,3862,3191,4609
"2005","Male","16-24 years old",14.1,11.0,17.6,2673,2089,3338
"2005","Male","25-34 years old",10.8,7.9,14.2,2164,1590,2845
"2005","Male","35-44 years old",7.8,5.6,10.4,1596,1151,2133
"2005","Male","45-54 years old",8.3,5.5,11.8,1608,1070,2284
"2005","Male","55-64 years old",6.1,3.8,9.0,820,513,1222
"2005","Male","65 + years old",8.6,5.8,12.2,1268,852,1787
"2006","Total","Total",9.6,8.9,10.4,27784,25676,29990
"2006","Total","0-15 years old",12.1,10.6,13.8,8428,7360,9579
"2006","Total","16-24 years old",11.4,9.4,13.7,4275,3521,5116
"2006","Total","25-34 years old",10.5,8.4,12.8,4303,3454,5263
"2006","Total","35-44 years old",9.5,7.7,11.5,3892,3161,4716
"2006","Total","45-54 years old",5.3,3.9,7.0,2092,1550,2741
"2006","Total","55-64 years old",3.7,2.4,5.3,1038,687,1488
"2006","Total","65 + years old",11.8,9.2,14.8,3755,2925,4708
"2006","Female","Total",10.2,9.2,11.3,14586,13094,16174
"2006","Female","0-15 years old",12.1,10.0,14.4,4127,3413,4921
