"Year","5 years and younger Boys","5 years and younger Girls","6 - 12 years old Boys","6 - 12 years old Girls","13 years old and older Boys","13 years old and older Girls"
"2005",11000,11000,11000,10000,45000,44000
"2006",12000,12000,12000,12000,50000,48000
"2007",13000,13000,13000,13000,57000,51000
"2008",14000,14000,14000,14000,55000,50000
"2009",15000,15000,15000,15000,49000,48000
"2010",16000,16000,16000,16000,53000,53000
"2011",16000,16000,16000,16000,52000,56000
"2012",17000,17000,17000,17000,58000,62000
"2013",18000,18000,18000,18000,60000,63000
"2014",18000,18000,18000,18000,63000,67000
"2015",19000,18000,18000,19000,72000,72000
"2016",19000,19000,19000,19000,79000,78000
"2017",19000,19000,19000,19000,84000,80000
