"Value unit","Employment","Economic activity","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2"
"Hours worked","Total employment","A. Agriculture, forestry and fishing",3260900.0,3316900.0,2920400.0,3533200.0,3293800.0,3564100.0,3171300.0,3599000.0,3396400.0,3566300.0,3412500.0,3590900.0,3434600.0,3560100.0,3472500.0,3801300.0,3635400.0,3682300.0,3412100.0,3746900.0,3595400.0,3570700.0,3393300.0,3681400.0,3356900.0,3385900.0,3245300.0,3535600.0,3368000.0,3304400.0,3266500.0,3496800.0,3211200.0,3126000.0,2895300.0,3090900.0,2437000.0,2930700.0,2751400.0,3046500.0,2871300.0,2864800.0,2795300.0,3048100.0,2926500.0,2958300.0,2708900.0,2994600.0,2777100.0,2735200.0
"Hours worked","Total employment","B-E. Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",9827800.0,10175200.0,9142500.0,10191500.0,9014400.0,7997700.0,8149000.0,9374600.0,9017400.0,8087800.0,8387500.0,9414600.0,8986600.0,8686000.0,8835300.0,9835100.0,9446900.0,8519900.0,8925400.0,9883800.0,9309700.0,9061500.0,9178400.0,10113200.0,9863700.0,8791000.0,9174500.0,10119400.0,9620200.0,8689000.0,9381600.0,10431500.0,9475900.0,9437700.0,9332200.0,10373900.0,9482000.0,8765200.0,9263200.0,10282800.0,9521000.0,9020600.0,9075600.0,10163800.0,10002500.0,8935600.0,8834500.0,10147600.0,9630900.0,8223400.0
"Hours worked","Total employment","C. Manufacturing",8683900.0,8955000.0,7862300.0,8943100.0,7851300.0,6979900.0,7003600.0,8241100.0,7923000.0,7101600.0,7269100.0,8319800.0,7891800.0,7675500.0,7721800.0,8716000.0,8355900.0,7531600.0,7837500.0,8768200.0,8270200.0,8034400.0,8070800.0,9022600.0,8768200.0,7800600.0,8078600.0,8992100.0,8538300.0,7721300.0,8282500.0,9235600.0,8417100.0,8347100.0,8198400.0,9206700.0,8346200.0,7726100.0,8097700.0,9075500.0,8364100.0,7904700.0,7884600.0,8931200.0,8744500.0,7815000.0,7657100.0,8862400.0,8351300.0,7091300.0
"Hours worked","Total employment","F. Construction",7439800.0,7748400.0,6902700.0,6332900.0,4271800.0,3726600.0,3869100.0,3959100.0,3277800.0,3159900.0,3224700.0,3395900.0,3051600.0,3043500.0,3093300.0,3267300.0,2980800.0,2978500.0,3055800.0,3377500.0,3163500.0,3272400.0,3329700.0,3564600.0,3439800.0,3337100.0,3451700.0,3875100.0,3624700.0,3593300.0,3771500.0,4273000.0,4055700.0,4273300.0,4327700.0,4925100.0,4872800.0,4856400.0,5127000.0,5713600.0,5399500.0,5336400.0,5218800.0,5949600.0,5749400.0,5431900.0,5111500.0,5746800.0,5232200.0,4662100.0
"Hours worked","Total employment","G-I. Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities",15798400.0,16439700.0,15464500.0,14918800.0,13044400.0,13012500.0,13136500.0,13434300.0,12745500.0,13251800.0,13378400.0,13563200.0,12723600.0,13931100.0,13946800.0,14123400.0,13389100.0,14340000.0,14450100.0,14522900.0,14013500.0,15007800.0,15113900.0,15031700.0,14510800.0,15503300.0,15637600.0,15699300.0,14896300.0,16306800.0,16826100.0,16976400.0,16421500.0,17902000.0,18180300.0,18562700.0,17802200.0,19353300.0,19322700.0,19641700.0,18584300.0,19750500.0,19316200.0,19696500.0,18667800.0,19238000.0,17612800.0,18537600.0,17173800.0,13885600.0
"Hours worked","Total employment","J. Information and communication",3207200.0,3182400.0,3003700.0,3186300.0,3036000.0,2484900.0,2607900.0,2950600.0,2998900.0,2500600.0,2645300.0,2984100.0,3058900.0,2690500.0,2687800.0,3000600.0,3018100.0,2556700.0,2714700.0,3028700.0,3006100.0,2788200.0,2860800.0,3191700.0,3239700.0,2704700.0,2877100.0,3196000.0,3199500.0,2712700.0,2945200.0,3307800.0,3119500.0,2959900.0,2933700.0,3273600.0,3278000.0,2751700.0,2929300.0,3241000.0,3092100.0,2779300.0,2805100.0,3141400.0,3482300.0,2885500.0,2896900.0,3363300.0,3389200.0,2597700.0
"Hours worked","Total employment","K. Financial and insurance activities",3685400.0,3717100.0,3473900.0,3563700.0,3296300.0,2678700.0,2777300.0,3060400.0,3013300.0,2583100.0,2787000.0,2989600.0,2926300.0,2698900.0,2778000.0,3036600.0,3021500.0,2588100.0,2747000.0,2932300.0,2829100.0,2635900.0,2684600.0,2991900.0,2954300.0,2427200.0,2580000.0,2726200.0,2680600.0,2276400.0,2510700.0,2658900.0,2486300.0,2436100.0,2431700.0,2599500.0,2565100.0,2207200.0,2369900.0,2516600.0,2437000.0,2260700.0,2309800.0,2465000.0,2548600.0,2146900.0,2160500.0,2405900.0,2461300.0,2041300.0
"Hours worked","Total employment","M-N. Professional, scientific and technical activities; administrative and support service activities",5358500.0,5641700.0,5566200.0,5398700.0,4883900.0,4102300.0,4436500.0,4677700.0,4615600.0,4058700.0,4487900.0,4716900.0,4790300.0,4441500.0,4733700.0,5030900.0,5029400.0,4503800.0,4967200.0,5200500.0,5060100.0,4933800.0,5179700.0,5344800.0,5476500.0,4841900.0,5418000.0,5634000.0,5623900.0,5123700.0,5853000.0,6066300.0,5761100.0,6039500.0,6611600.0,6915800.0,6925200.0,6368000.0,7292400.0,7372100.0,6998700.0,6777800.0,7326700.0,7512200.0,7483600.0,6575900.0,6961500.0,7311900.0,7010800.0,5074500.0
"Hours worked","Total employment","O-Q. Public administration and defence; compulsory social security; education; human health and social work activities",20088700.0,20937200.0,19985000.0,22208800.0,21407900.0,19296700.0,19000200.0,20420400.0,20352900.0,18673100.0,18673900.0,20097500.0,19840300.0,18898500.0,18691500.0,19998300.0,20100800.0,18428700.0,18249200.0,20039100.0,19655800.0,19317300.0,18458100.0,20180500.0,20304100.0,18721800.0,18878400.0,20645800.0,20626500.0,18391600.0,18840800.0,21792100.0,19827500.0,19657400.0,18697200.0,21050100.0,21060300.0,19148400.0,18897800.0,21305000.0,21076300.0,20155400.0,19252600.0,21755800.0,23051600.0,20671800.0,19622900.0,22579800.0,22885800.0,21958400.0
"Hours worked","Total employment","R-U. Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",2769000.0,2860300.0,2774200.0,2935300.0,2812200.0,2567700.0,2648300.0,2807300.0,2775700.0,2540000.0,2680900.0,2796900.0,2735000.0,2650400.0,2674600.0,2807400.0,2765200.0,2572100.0,2622500.0,2771000.0,2711700.0,2681200.0,2710100.0,2781500.0,2818800.0,2627100.0,2740600.0,2870300.0,2837000.0,2703100.0,2783000.0,3014400.0,2731300.0,2758400.0,2755000.0,2877300.0,2866200.0,2702800.0,2826300.0,2967500.0,2912700.0,2843000.0,2861900.0,3053800.0,3153000.0,2919500.0,2855500.0,3094400.0,3085000.0,2478200.0
